번호,신고일,구정보,주소,유형,조치일
1,2025-12-01,동작구,서울특별시 동작구 상도동 424,보도와 차도가 구분된 도로의 차도,2025-12-02
2,2025-12-01,영등포구,서울특별시 영등포구 대림동 784,상기 사항 외 보도,2025-12-01
3,2025-12-01,영등포구,서울특별시 영등포구 당산동3가 560-1,상기 사항 외 보도,2025-12-01
4,2025-12-01,영등포구,서울특별시 영등포구 문래동2가 58-6,상기 사항 외 보도,2025-12-01
5,2025-12-01,서대문구,서울특별시 서대문구 북가좌동 362-1,상기 사항 외 보도,2025-12-01
6,2025-12-01,서대문구,서울특별시 서대문구 북가좌동 309-13,상기 사항 외 보도,2025-12-01
7,2025-12-01,은평구,서울특별시 은평구 갈현동 530-9,버스정류소 및 택시승강장 주변(5m 이내),2025-12-01
8,2025-12-01,종로구,서울특별시 종로구 사직동 308-5,상기 사항 외 보도,2025-12-01
9,2025-12-01,종로구,서울특별시 종로구 사직동 308-5,상기 사항 외 보도,2025-12-01
10,2025-12-01,서대문구,서울특별시 서대문구 홍제동 253-3,보호구역(어린이·노인·장애인),2025-12-01
11,2025-12-01,서대문구,서울특별시 서대문구 창천동 83-11,버스정류소 및 택시승강장 주변(5m 이내),2025-12-01
12,2025-12-01,서대문구,서울특별시 서대문구 창천동 83-67,버스정류소 및 택시승강장 주변(5m 이내),2025-12-01
13,2025-12-01,서대문구,서울특별시 서대문구 창천동 83-67,버스정류소 및 택시승강장 주변(5m 이내),2025-12-01
14,2025-12-01,서대문구,서울특별시 서대문구 창천동 83-65,버스정류소 및 택시승강장 주변(5m 이내),2025-12-01
15,2025-12-01,은평구,서울특별시 은평구 진관동 74,상기 사항 외 보도,2025-12-01
16,2025-12-01,은평구,서울특별시 은평구 진관동 51-4,상기 사항 외 보도,2025-12-01
17,2025-12-01,은평구,서울특별시 은평구 진관동 106-1,상기 사항 외 보도,2025-12-01
18,2025-12-01,동작구,서울특별시 동작구 대방동 500,횡단보도 주변(3m),2025-12-01
19,2025-12-01,동작구,서울특별시 동작구 대방동 503-2,횡단보도 주변(3m),2025-12-01
20,2025-12-01,서대문구,서울특별시 서대문구 홍은동 354-2,보호구역(어린이·노인·장애인),2025-12-01
21,2025-12-01,송파구,서울특별시 송파구 오금동 89-6,보도와 차도가 구분된 도로의 차도,2025-12-01
22,2025-12-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-12-01
23,2025-12-01,송파구,서울특별시 송파구 오금동 89-6,보도와 차도가 구분된 도로의 차도,2025-12-01
24,2025-12-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-12-01
25,2025-12-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-12-01
26,2025-12-01,강남구,서울특별시 강남구 논현동 22,보도와 차도가 구분된 도로의 차도,2025-12-01
27,2025-12-01,강남구,서울특별시 강남구 대치동 1023-1,보도와 차도가 구분된 도로의 차도,2025-12-01
