번호,신고일,구정보,주소,유형,조치일
1,2025.3.1,강남구,서울특별시 강남구 삼성동 144-29,보도와 차도가 구분된 도로의 차도,2025.3.1
2,2025.3.1,강남구,서울특별시 강남구 삼성동 144-30,보도와 차도가 구분된 도로의 차도,2025.3.1
3,2025.3.1,강남구,서울특별시 강남구 삼성동 144-30,보도와 차도가 구분된 도로의 차도,2025.3.1
4,2025.3.1,강남구,서울특별시 강남구 삼성동 144-30,보도와 차도가 구분된 도로의 차도,2025.3.1
5,2025.3.1,강남구,서울특별시 강남구 삼성동 144-30,보도와 차도가 구분된 도로의 차도,2025.3.1
6,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
7,2025.3.1,강남구,서울특별시 강남구 역삼동 677-25,보도와 차도가 구분된 도로의 차도,2025.3.1
8,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
9,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
10,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
11,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
12,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
13,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
14,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
15,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
16,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
17,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
18,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
19,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
20,2025.3.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.3.1
21,2025.3.2,강남구,서울특별시 강남구 삼성동 189,보도와 차도가 구분된 도로의 차도,2025.3.2
22,2025.3.2,강남구,서울특별시 강남구 삼성동 188,보도와 차도가 구분된 도로의 차도,2025.3.2
23,2025.3.2,강남구,서울특별시 강남구 삼성동 188,보도와 차도가 구분된 도로의 차도,2025.3.2
24,2025.3.2,강남구,서울특별시 강남구 대치동 893-1,보도와 차도가 구분된 도로의 차도,2025.3.2
25,2025.3.2,강남구,서울특별시 강남구 대치동 893-1,보도와 차도가 구분된 도로의 차도,2025.3.2
26,2025.3.2,강남구,서울특별시 강남구 대치동 893-1,보도와 차도가 구분된 도로의 차도,2025.3.2
27,2025.3.2,강남구,서울특별시 강남구 대치동 931-24,보도와 차도가 구분된 도로의 차도,2025.3.2
28,2025.3.2,강남구,서울특별시 강남구 대치동 938-21,보도와 차도가 구분된 도로의 차도,2025.3.2
29,2025.3.2,강남구,서울특별시 강남구 개포동 1282-5,보도와 차도가 구분된 도로의 차도,2025.3.2
30,2025.3.2,강남구,서울특별시 강남구 개포동 1282-5,보도와 차도가 구분된 도로의 차도,2025.3.2
31,2025.3.2,강남구,서울특별시 강남구 개포동 658-1,보도와 차도가 구분된 도로의 차도,2025.3.2
32,2025.3.2,강남구,서울특별시 강남구 개포동 658-1,보도와 차도가 구분된 도로의 차도,2025.3.2
33,2025.3.2,강남구,서울특별시 강남구 도곡동 539-5,보도와 차도가 구분된 도로의 차도,2025.3.2
34,2025.3.2,강남구,서울특별시 강남구 도곡동 556,보도와 차도가 구분된 도로의 차도,2025.3.2
35,2025.3.2,강남구,서울특별시 강남구 도곡동 556,보도와 차도가 구분된 도로의 차도,2025.3.2
36,2025.3.2,강남구,서울특별시 강남구 도곡동 539-5,보도와 차도가 구분된 도로의 차도,2025.3.2
37,2025.3.2,강남구,서울특별시 강남구 도곡동 538-3,보도와 차도가 구분된 도로의 차도,2025.3.2
38,2025.3.2,강남구,서울특별시 강남구 대치동 1024,보도와 차도가 구분된 도로의 차도,2025.3.2
39,2025.3.2,강남구,서울특별시 강남구 대치동 1024-1,보도와 차도가 구분된 도로의 차도,2025.3.2
40,2025.3.2,강남구,서울특별시 강남구 대치동 1024,보도와 차도가 구분된 도로의 차도,2025.3.2
41,2025.3.2,강남구,서울특별시 강남구 대치동 1024,보도와 차도가 구분된 도로의 차도,2025.3.2
42,2025.3.2,강남구,서울특별시 강남구 대치동 1024-1,보도와 차도가 구분된 도로의 차도,2025.3.2
43,2025.3.2,강남구,서울특별시 강남구 삼성동 172-66,보도와 차도가 구분된 도로의 차도,2025.3.2
44,2025.3.2,강남구,서울특별시 강남구 삼성동 172-66,보도와 차도가 구분된 도로의 차도,2025.3.2
45,2025.3.2,강남구,서울특별시 강남구 삼성동 172-66,보도와 차도가 구분된 도로의 차도,2025.3.2
46,2025.3.2,강남구,서울특별시 강남구 삼성동 172-66,보도와 차도가 구분된 도로의 차도,2025.3.2
47,2025.3.2,강남구,서울특별시 강남구 삼성동 172-66,보도와 차도가 구분된 도로의 차도,2025.3.2
48,2025.3.2,강남구,서울특별시 강남구 삼성동 172,보도와 차도가 구분된 도로의 차도,2025.3.2
49,2025.3.2,강남구,서울특별시 강남구 삼성동 162-13,보도와 차도가 구분된 도로의 차도,2025.3.2
50,2025.3.2,강남구,서울특별시 강남구 삼성동 172,보도와 차도가 구분된 도로의 차도,2025.3.2
51,2025.3.2,강남구,서울특별시 강남구 삼성동 172-65,보도와 차도가 구분된 도로의 차도,2025.3.2
52,2025.3.2,강남구,서울특별시 강남구 삼성동 170-5,보도와 차도가 구분된 도로의 차도,2025.3.2
53,2025.3.2,강남구,서울특별시 강남구 삼성동 172-42,보도와 차도가 구분된 도로의 차도,2025.3.2
54,2025.3.2,강남구,서울특별시 강남구 삼성동 170-1,보도와 차도가 구분된 도로의 차도,2025.3.2
55,2025.3.2,강남구,서울특별시 강남구 대치동 998-4,보도와 차도가 구분된 도로의 차도,2025.3.2
56,2025.3.2,강남구,서울특별시 강남구 삼성동 172-69,보도와 차도가 구분된 도로의 차도,2025.3.2
57,2025.3.3,은평구,서울특별시 은평구 응암동 1-2,보호구역(어린이·노인·장애인),2025.3.3
58,2025.3.3,은평구,서울특별시 은평구 응암동 1-2,보호구역(어린이·노인·장애인),2025.3.3
59,2025.3.3,은평구,서울특별시 은평구 응암동 84-14,그 외 지역,2025.3.3
60,2025.3.3,은평구,서울특별시 은평구 응암동 84-14,그 외 지역,2025.3.3
61,2025.3.3,은평구,서울특별시 은평구 응암동 84-14,버스정류소 및 택시승강장 주변(5m 이내),2025.3.3
62,2025.3.3,송파구,서울특별시 송파구 가락동 69,그 외 지역,2025.3.4
63,2025.3.3,송파구,서울특별시 송파구 가락동 69,그 외 지역,2025.3.4
64,2025.3.4,송파구,서울특별시 송파구 가락동 80,보도와 차도가 구분된 도로의 차도,2025.3.4
65,2025.3.4,송파구,서울특별시 송파구 가락동 80,보도와 차도가 구분된 도로의 차도,2025.3.4
66,2025.3.4,송파구,서울특별시 송파구 가락동 79-4,보도와 차도가 구분된 도로의 차도,2025.3.4
67,2025.3.4,송파구,서울특별시 송파구 가락동 99-10,보도와 차도가 구분된 도로의 차도,2025.3.4
68,2025.3.4,송파구,서울특별시 송파구 문정동 647-3,보도와 차도가 구분된 도로의 차도,2025.3.4
69,2025.3.4,송파구,서울특별시 송파구 문정동 647-4,보도와 차도가 구분된 도로의 차도,2025.3.4
70,2025.3.4,송파구,서울특별시 송파구 문정동 651,버스정류소 및 택시승강장 주변(5m 이내),2025.3.4
71,2025.3.4,강동구,서울특별시 강동구 성내동 464-11,그 외 지역,2025.3.4
72,2025.3.4,강동구,서울특별시 강동구 둔촌동 227-7,자전거 도로,2025.3.4
73,2025.3.4,마포구,서울특별시 마포구 상수동 51-2,횡단보도 주변(3m),2025.3.4
74,2025.3.4,송파구,서울특별시 송파구 가락동 80,점자블록 또는 교통약자 엘리베이터,2025.3.4
75,2025.3.4,마포구,서울특별시 마포구 상수동 276,버스정류소 및 택시승강장 주변(5m 이내),2025.3.4
76,2025.3.4,마포구,서울특별시 마포구 현석동 9-13,보도와 차도가 구분된 도로의 차도,2025.3.4
77,2025.3.4,마포구,서울특별시 마포구 현석동 223-1,교통섬 내부,2025.3.4
78,2025.3.4,마포구,서울특별시 마포구 대흥동 660-2,보도와 차도가 구분된 도로의 차도,2025.3.4
79,2025.3.4,관악구,서울특별시 관악구 신림동 1587-2,횡단보도 주변(3m),2025.3.4
80,2025.3.4,강동구,서울특별시 강동구 성내동 484,보도와 차도가 구분된 도로의 차도,2025.3.4
81,2025.3.4,송파구,서울특별시 송파구 송파동 19-5,자전거 도로,2025.3.4
82,2025.3.4,강서구,서울특별시 강서구 등촌동 713,보도와 차도가 구분된 도로의 차도,2025.3.4
83,2025.3.4,관악구,서울특별시 관악구 봉천동 920,보호구역(어린이·노인·장애인),2025.3.4
84,2025.3.4,강서구,서울특별시 강서구 염창동 284-30,보도와 차도가 구분된 도로의 차도,2025.3.4
85,2025.3.4,송파구,서울특별시 송파구 방이동 94-1,자전거 도로,2025.3.4
86,2025.3.4,송파구,서울특별시 송파구 방이동 94-1,자전거 도로,2025.3.4
87,2025.3.4,관악구,서울특별시 관악구 봉천동 895-27,보도와 차도가 구분된 도로의 차도,2025.3.4
88,2025.3.4,마포구,서울특별시 마포구 도화동 536,횡단보도 주변(3m),2025.3.4
89,2025.3.4,마포구,서울특별시 마포구 염리동 521,보도와 차도가 구분된 도로의 차도,2025.3.4
90,2025.3.4,송파구,서울특별시 송파구 문정동 305-24,버스정류소 및 택시승강장 주변(5m 이내),2025.3.4
91,2025.3.4,마포구,서울특별시 마포구 염리동 169-12,보도와 차도가 구분된 도로의 차도,2025.3.4
