번호,신고일,구정보,주소,유형,조치일
1,2025-08-01,서초구,서울특별시 서초구 방배동 912-24,횡단보도 주변(3m),2025-08-01
2,2025-08-01,서초구,서울특별시 서초구 방배동 1031-2,버스정류소 및 택시승강장 주변(5m 이내),2025-08-01
3,2025-08-01,서초구,서울특별시 서초구 방배동 1033-1,상기 사항 외 보도,2025-08-01
4,2025-08-01,서초구,서울특별시 서초구 양재동 4-19,상기 사항 외 보도,2025-08-01
5,2025-08-01,서초구,서울특별시 서초구 양재동 402-17,상기 사항 외 보도,2025-08-01
6,2025-08-01,서초구,서울특별시 서초구 양재동 105-24,횡단보도 주변(3m),2025-08-01
7,2025-08-01,서초구,서울특별시 서초구 양재동 105-24,횡단보도 주변(3m),2025-08-01
8,2025-08-01,서초구,서울특별시 서초구 양재동 105-24,횡단보도 주변(3m),2025-08-01
9,2025-08-01,서초구,서울특별시 서초구 양재동 105-24,상기 사항 외 보도,2025-08-01
10,2025-08-01,서대문구,서울특별시 서대문구 연희동 92-23,횡단보도 주변(3m),2025-08-01
11,2025-08-01,서대문구,서울특별시 서대문구 연희동 134-10,횡단보도 주변(3m),2025-08-01
12,2025-08-01,서대문구,서울특별시 서대문구 연희동 76-14,횡단보도 주변(3m),2025-08-01
13,2025-08-01,서대문구,서울특별시 서대문구 연희동 724-9,상기 사항 외 보도,2025-08-01
14,2025-08-01,송파구,서울특별시 송파구 방이동 18,버스정류소 및 택시승강장 주변(5m 이내),2025-08-01
15,2025-08-01,영등포구,서울특별시 영등포구 도림동 224-1,상기 사항 외 보도,2025-08-01
16,2025-08-01,서초구,서울특별시 서초구 양재동 47,보도와 차도가 구분된 도로의 차도,2025-08-01
17,2025-08-01,서초구,서울특별시 서초구 양재동 55,횡단보도 주변(3m),2025-08-01
18,2025-08-01,서초구,서울특별시 서초구 양재동 47,상기 사항 외 보도,2025-08-01
19,2025-08-01,서초구,서울특별시 서초구 양재동 47,상기 사항 외 보도,2025-08-01
20,2025-08-01,서초구,서울특별시 서초구 양재동 57,상기 사항 외 보도,2025-08-01
21,2025-08-01,서초구,서울특별시 서초구 양재동 55,상기 사항 외 보도,2025-08-01
22,2025-08-01,구로구,서울특별시 구로구 구로동 63-1,횡단보도 주변(3m),2025-08-01
23,2025-08-01,영등포구,서울특별시 영등포구 대림동 906-108,상기 사항 외 보도,2025-08-01
24,2025-08-01,구로구,서울특별시 구로구 신도림동 312-16,횡단보도 주변(3m),2025-08-01
25,2025-08-01,구로구,서울특별시 구로구 신도림동 643,횡단보도 주변(3m),2025-08-01
26,2025-08-01,송파구,서울특별시 송파구 문정동 644-2,자전거 도로,2025-08-01
27,2025-08-01,송파구,서울특별시 송파구 문정동 641-1,자전거 도로,2025-08-01
28,2025-08-01,송파구,서울특별시 송파구 문정동 641-1,자전거 도로,2025-08-01
29,2025-08-01,송파구,서울특별시 송파구 문정동 641-1,자전거 도로,2025-08-01
30,2025-08-01,영등포구,서울특별시 영등포구 대림동 774,상기 사항 외 보도,2025-08-01
31,2025-08-01,구로구,서울특별시 구로구 신도림동 646,점자블록 또는 교통약자 엘리베이터,2025-08-01
32,2025-08-01,송파구,서울특별시 송파구 장지동 917-3,보도와 차도가 구분된 도로의 차도,2025-08-01
33,2025-08-01,송파구,서울특별시 송파구 장지동 883,보도와 차도가 구분된 도로의 차도,2025-08-01
34,2025-08-01,강남구,서울특별시 강남구 수서동 724-4,보도와 차도가 구분된 도로의 차도,2025-08-01
35,2025-08-01,강남구,서울특별시 강남구 수서동 728,보도와 차도가 구분된 도로의 차도,2025-08-01
36,2025-08-01,영등포구,서울특별시 영등포구 대림동 669-2,상기 사항 외 보도,2025-08-01
37,2025-08-01,강남구,서울특별시 강남구 수서동 724,보도와 차도가 구분된 도로의 차도,2025-08-01
38,2025-08-01,강남구,서울특별시 강남구 수서동 719,보도와 차도가 구분된 도로의 차도,2025-08-01
39,2025-08-01,강남구,서울특별시 강남구 역삼동 800-37,보도와 차도가 구분된 도로의 차도,2025-08-01
40,2025-08-01,강남구,서울특별시 강남구 역삼동 624-12,보도와 차도가 구분된 도로의 차도,2025-08-01
41,2025-08-01,강남구,서울특별시 강남구 역삼동 800-24,보도와 차도가 구분된 도로의 차도,2025-08-01
42,2025-08-01,강남구,서울특별시 강남구 역삼동 800-24,보도와 차도가 구분된 도로의 차도,2025-08-01
43,2025-08-01,강남구,서울특별시 강남구 역삼동 800-24,보도와 차도가 구분된 도로의 차도,2025-08-01
44,2025-08-01,강남구,서울특별시 강남구 개포동 13-3,보도와 차도가 구분된 도로의 차도,2025-08-01
45,2025-08-01,강남구,서울특별시 강남구 역삼동 624-12,보도와 차도가 구분된 도로의 차도,2025-08-01
46,2025-08-01,강남구,서울특별시 강남구 역삼동 800-24,보도와 차도가 구분된 도로의 차도,2025-08-01
47,2025-08-01,강남구,서울특별시 강남구 역삼동 624-8,보도와 차도가 구분된 도로의 차도,2025-08-01
48,2025-08-01,은평구,서울특별시 은평구 불광동 12-2,버스정류소 및 택시승강장 주변(5m 이내),2025-08-01
49,2025-08-01,강남구,서울특별시 강남구 역삼동 624-33,보도와 차도가 구분된 도로의 차도,2025-08-01
50,2025-08-01,강남구,서울특별시 강남구 개포동 195,보도와 차도가 구분된 도로의 차도,2025-08-01
51,2025-08-01,강남구,서울특별시 강남구 역삼동 624-33,보도와 차도가 구분된 도로의 차도,2025-08-01
52,2025-08-01,강남구,서울특별시 강남구 개포동 186-1,보도와 차도가 구분된 도로의 차도,2025-08-01
53,2025-08-01,강남구,서울특별시 강남구 역삼동 624-5,보도와 차도가 구분된 도로의 차도,2025-08-01
54,2025-08-01,강남구,서울특별시 강남구 개포동 186-1,보도와 차도가 구분된 도로의 차도,2025-08-01
55,2025-08-01,강남구,서울특별시 강남구 역삼동 624-5,보도와 차도가 구분된 도로의 차도,2025-08-01
56,2025-08-01,강남구,서울특별시 강남구 역삼동 624-33,보도와 차도가 구분된 도로의 차도,2025-08-01
57,2025-08-01,강남구,서울특별시 강남구 개포동 198,보도와 차도가 구분된 도로의 차도,2025-08-01
58,2025-08-01,강남구,서울특별시 강남구 역삼동 624-33,보도와 차도가 구분된 도로의 차도,2025-08-01
59,2025-08-01,강남구,서울특별시 강남구 역삼동 612-3,보도와 차도가 구분된 도로의 차도,2025-08-01
60,2025-08-01,강남구,서울특별시 강남구 역삼동 800-24,보도와 차도가 구분된 도로의 차도,2025-08-01
61,2025-08-01,강남구,서울특별시 강남구 역삼동 612-3,보도와 차도가 구분된 도로의 차도,2025-08-01
62,2025-08-01,강남구,서울특별시 강남구 역삼동 624-12,보도와 차도가 구분된 도로의 차도,2025-08-01
63,2025-08-01,송파구,서울특별시 송파구 가락동 10-15,횡단보도 주변(3m),2025-08-01
64,2025-08-01,송파구,서울특별시 송파구 오금동 42-7,보도와 차도가 구분된 도로의 차도,2025-08-01
65,2025-08-01,송파구,서울특별시 송파구 오금동 7-1,보호구역(어린이·노인·장애인),2025-08-01
66,2025-08-01,송파구,서울특별시 송파구 오금동 51,지하철역 전면(5m이내),2025-08-01
67,2025-08-01,송파구,서울특별시 송파구 오금동 34-2,횡단보도 주변(3m),2025-08-01
68,2025-08-01,송파구,서울특별시 송파구 신천동 28,보도와 차도가 구분된 도로의 차도,2025-08-01
69,2025-08-01,영등포구,서울특별시 영등포구 신길동 4934-2,상기 사항 외 보도,2025-08-01
70,2025-08-01,송파구,서울특별시 송파구 신천동 28,보도와 차도가 구분된 도로의 차도,2025-08-01
71,2025-08-01,영등포구,서울특별시 영등포구 대림동 607-1,상기 사항 외 보도,2025-08-01
72,2025-08-01,동작구,서울특별시 동작구 본동 48-14,보호구역(어린이·노인·장애인),2025-08-01
73,2025-08-01,동작구,서울특별시 동작구 본동 48-14,보호구역(어린이·노인·장애인),2025-08-01
74,2025-08-01,영등포구,서울특별시 영등포구 양평동5가 1-3,상기 사항 외 보도,2025-08-01
75,2025-08-01,도봉구,서울특별시 도봉구 창동 167-4,보호구역(어린이·노인·장애인),2025-08-01
76,2025-08-01,동작구,서울특별시 동작구 대방동 466-10,상기 사항 외 보도,2025-08-01
77,2025-08-01,영등포구,서울특별시 영등포구 양평동2가 1-1,상기 사항 외 보도,2025-08-01
78,2025-08-01,구로구,서울특별시 구로구 구로동 798-66,보도와 차도가 구분된 도로의 차도,2025-08-01
79,2025-08-01,강남구,서울특별시 강남구 삼성동 148-14,보도와 차도가 구분된 도로의 차도,2025-08-01
80,2025-08-01,영등포구,서울특별시 영등포구 양평동2가 38-1,상기 사항 외 보도,2025-08-01
81,2025-08-01,관악구,서울특별시 관악구 신림동 110-11,지하철역 전면(5m이내),2025-08-01
82,2025-08-01,관악구,서울특별시 관악구 신림동 116-33,지하철역 전면(5m이내),2025-08-01
83,2025-08-01,구로구,서울특별시 구로구 구로동 170-10,횡단보도 주변(3m),2025-08-01
84,2025-08-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-08-01
85,2025-08-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-08-01
86,2025-08-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-08-01
87,2025-08-01,강남구,서울특별시 강남구 청담동 100-33,보도와 차도가 구분된 도로의 차도,2025-08-01
88,2025-08-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-08-01
89,2025-08-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-08-01
90,2025-08-01,강남구,서울특별시 강남구 청담동 100-19,보도와 차도가 구분된 도로의 차도,2025-08-01
91,2025-08-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-08-01
92,2025-08-01,강남구,서울특별시 강남구 청담동 100-19,보도와 차도가 구분된 도로의 차도,2025-08-01
93,2025-08-01,구로구,서울특별시 구로구 구로동 814,횡단보도 주변(3m),2025-08-01
94,2025-08-01,송파구,서울특별시 송파구 거여동 696-1,보도와 차도가 구분된 도로의 차도,2025-08-01
95,2025-08-01,강남구,서울특별시 강남구 대치동 1024-2,보도와 차도가 구분된 도로의 차도,2025-08-01
96,2025-08-01,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025-08-01
97,2025-08-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-08-01
98,2025-08-01,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025-08-01
99,2025-08-01,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025-08-01
100,2025-08-01,구로구,서울특별시 구로구 구로동 187-10,보도와 차도가 구분된 도로의 차도,2025-08-01
101,2025-08-01,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025-08-01
102,2025-08-01,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025-08-01
103,2025-08-01,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025-08-01
104,2025-08-01,금천구,서울특별시 금천구 가산동 338-1,횡단보도 주변(3m),2025-08-01
105,2025-08-01,강남구,서울특별시 강남구 수서동 719,보도와 차도가 구분된 도로의 차도,2025-08-01
106,2025-08-01,동작구,서울특별시 동작구 상도1동 794,횡단보도 주변(3m),2025-08-01
107,2025-08-01,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025-08-01
108,2025-08-01,강남구,서울특별시 강남구 도곡동 958-20,보도와 차도가 구분된 도로의 차도,2025-08-01
109,2025-08-01,강남구,서울특별시 강남구 청담동 119-1,보도와 차도가 구분된 도로의 차도,2025-08-01
110,2025-08-01,강남구,서울특별시 강남구 도곡동 943-7,보도와 차도가 구분된 도로의 차도,2025-08-01
111,2025-08-01,강남구,서울특별시 강남구 청담동 119-2,보도와 차도가 구분된 도로의 차도,2025-08-01
112,2025-08-01,금천구,서울특별시 금천구 가산동 356-5,횡단보도 주변(3m),2025-08-01
113,2025-08-01,노원구,서울특별시 노원구 중계동 359-8,보도와 차도가 구분된 도로의 차도,2025-08-01
114,2025-08-01,구로구,서울특별시 구로구 구로동 1119,상기 사항 외 보도,2025-08-01
115,2025-08-01,강남구,서울특별시 강남구 도곡동 958-3,보도와 차도가 구분된 도로의 차도,2025-08-01
116,2025-08-01,노원구,서울특별시 노원구 중계동 359-1,보도와 차도가 구분된 도로의 차도,2025-08-01
117,2025-08-01,금천구,서울특별시 금천구 가산동 356-5,횡단보도 주변(3m),2025-08-01
118,2025-08-01,금천구,서울특별시 금천구 가산동 345-4,횡단보도 주변(3m),2025-08-01
119,2025-08-01,강남구,서울특별시 강남구 청담동 53,보도와 차도가 구분된 도로의 차도,2025-08-01
120,2025-08-01,강남구,서울특별시 강남구 청담동 53,보도와 차도가 구분된 도로의 차도,2025-08-01
121,2025-08-01,강남구,서울특별시 강남구 청담동 77,보도와 차도가 구분된 도로의 차도,2025-08-01
122,2025-08-01,강남구,서울특별시 강남구 역삼동 838-8,보도와 차도가 구분된 도로의 차도,2025-08-01
123,2025-08-01,강남구,서울특별시 강남구 청담동 52-2,보도와 차도가 구분된 도로의 차도,2025-08-01
124,2025-08-01,강남구,서울특별시 강남구 역삼동 803-27,보도와 차도가 구분된 도로의 차도,2025-08-01
125,2025-08-01,송파구,서울특별시 송파구 풍납동 512,보도와 차도가 구분된 도로의 차도,2025-08-01
126,2025-08-01,관악구,서울특별시 관악구 봉천동 971-3,횡단보도 주변(3m),2025-08-01
127,2025-08-01,강남구,서울특별시 강남구 청담동 52,보도와 차도가 구분된 도로의 차도,2025-08-01
128,2025-08-01,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025-08-01
129,2025-08-01,강남구,서울특별시 강남구 역삼동 786-18,보도와 차도가 구분된 도로의 차도,2025-08-01
130,2025-08-01,강남구,서울특별시 강남구 청담동 77,보도와 차도가 구분된 도로의 차도,2025-08-01
131,2025-08-01,강남구,서울특별시 강남구 청담동 77,보도와 차도가 구분된 도로의 차도,2025-08-01
132,2025-08-01,강남구,서울특별시 강남구 역삼동 805-32,보도와 차도가 구분된 도로의 차도,2025-08-01
133,2025-08-01,강남구,서울특별시 강남구 청담동 52,보도와 차도가 구분된 도로의 차도,2025-08-01
134,2025-08-01,강남구,서울특별시 강남구 역삼동 785-13,보도와 차도가 구분된 도로의 차도,2025-08-01
135,2025-08-01,동작구,서울특별시 동작구 사당동 254-16,점자블록 또는 교통약자 엘리베이터,2025-08-01
136,2025-08-01,강남구,서울특별시 강남구 역삼동 805-32,보도와 차도가 구분된 도로의 차도,2025-08-01
137,2025-08-01,금천구,서울특별시 금천구 가산동 544-22,보도와 차도가 구분된 도로의 차도,2025-08-01
138,2025-08-01,강남구,서울특별시 강남구 청담동 50-2,보도와 차도가 구분된 도로의 차도,2025-08-01
139,2025-08-01,은평구,서울특별시 은평구 역촌동 1-1,횡단보도 주변(3m),2025-08-01
140,2025-08-01,강남구,서울특별시 강남구 청담동 77,보도와 차도가 구분된 도로의 차도,2025-08-01
141,2025-08-01,강남구,서울특별시 강남구 청담동 49-8,보도와 차도가 구분된 도로의 차도,2025-08-01
142,2025-08-01,강남구,서울특별시 강남구 청담동 49-8,보도와 차도가 구분된 도로의 차도,2025-08-01
143,2025-08-01,서대문구,서울특별시 서대문구 연희동 209-2,교통섬 내부,2025-08-01
144,2025-08-01,송파구,서울특별시 송파구 가락동 58,보도와 차도가 구분된 도로의 차도,2025-08-01
145,2025-08-01,관악구,서울특별시 관악구 봉천동 979-7,횡단보도 주변(3m),2025-08-01
146,2025-08-01,동작구,서울특별시 동작구 상도동 514,상기 사항 외 보도,2025-08-01
147,2025-08-01,동작구,서울특별시 동작구 상도동 514,상기 사항 외 보도,2025-08-01
148,2025-08-01,강남구,서울특별시 강남구 대치동 1012-82,보도와 차도가 구분된 도로의 차도,2025-08-01
149,2025-08-01,강남구,서울특별시 강남구 대치동 1012-82,보도와 차도가 구분된 도로의 차도,2025-08-01
150,2025-08-01,동작구,서울특별시 동작구 상도동 111-52,횡단보도 주변(3m),2025-08-01
