번호,신고일,구정보,주소,유형,조치일
1,2025.2.1,강남구,서울특별시 강남구 청담동 68-19,보도와 차도가 구분된 도로의 차도,2025.2.1
2,2025.2.1,강남구,서울특별시 강남구 삼성동 77-13,보도와 차도가 구분된 도로의 차도,2025.2.1
3,2025.2.1,강남구,서울특별시 강남구 삼성동 111-86,보도와 차도가 구분된 도로의 차도,2025.2.1
4,2025.2.1,강남구,서울특별시 강남구 삼성동 73,보도와 차도가 구분된 도로의 차도,2025.2.1
5,2025.2.1,강남구,서울특별시 강남구 논현동 208-6,보도와 차도가 구분된 도로의 차도,2025.2.1
6,2025.2.1,강남구,서울특별시 강남구 논현동 210-1,보도와 차도가 구분된 도로의 차도,2025.2.1
7,2025.2.1,강남구,서울특별시 강남구 역삼동 858,보도와 차도가 구분된 도로의 차도,2025.2.1
8,2025.2.1,강남구,서울특별시 강남구 역삼동 858,보도와 차도가 구분된 도로의 차도,2025.2.1
9,2025.2.1,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.2.1
10,2025.2.1,강남구,서울특별시 강남구 삼성동 189,보도와 차도가 구분된 도로의 차도,2025.2.1
11,2025.2.1,강남구,서울특별시 강남구 개포동 186,보도와 차도가 구분된 도로의 차도,2025.2.1
12,2025.2.1,강남구,서울특별시 강남구 개포동 181-1,보도와 차도가 구분된 도로의 차도,2025.2.1
13,2025.2.1,강남구,서울특별시 강남구 개포동 647,보도와 차도가 구분된 도로의 차도,2025.2.1
14,2025.2.1,강남구,서울특별시 강남구 개포동 198,보도와 차도가 구분된 도로의 차도,2025.2.1
15,2025.2.2,강남구,서울특별시 강남구 삼성동 69-13,보도와 차도가 구분된 도로의 차도,2025.2.2
16,2025.2.1,강남구,서울특별시 강남구 삼성동 21-4,보도와 차도가 구분된 도로의 차도,2025.2.1
17,2025.2.1,강남구,서울특별시 강남구 역삼동 677-31,보도와 차도가 구분된 도로의 차도,2025.2.1
18,2025.2.1,강남구,서울특별시 강남구 역삼동 798-16,보도와 차도가 구분된 도로의 차도,2025.2.1
19,2025.2.1,강남구,서울특별시 강남구 도곡동 543,보도와 차도가 구분된 도로의 차도,2025.2.1
20,2025.2.1,강남구,서울특별시 강남구 대치동 1023-1,보도와 차도가 구분된 도로의 차도,2025.2.1
21,2025.2.2,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.2.2
22,2025.2.2,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.2.2
23,2025.2.2,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.2.2
24,2025.2.2,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.2.2
25,2025.2.2,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.2.2
26,2025.2.2,강남구,서울특별시 강남구 역삼동 858-18,보도와 차도가 구분된 도로의 차도,2025.2.2
27,2025.2.2,강남구,서울특별시 강남구 대치동 1011,보도와 차도가 구분된 도로의 차도,2025.2.2
28,2025.2.2,강남구,서울특별시 강남구 역삼동 804-7,보도와 차도가 구분된 도로의 차도,2025.2.2
29,2025.2.2,강남구,서울특별시 강남구 역삼동 804-7,보도와 차도가 구분된 도로의 차도,2025.2.2
30,2025.2.2,강남구,서울특별시 강남구 삼성동 111-86,보도와 차도가 구분된 도로의 차도,2025.2.2
31,2025.2.2,강남구,서울특별시 강남구 역삼동 804-7,보도와 차도가 구분된 도로의 차도,2025.2.2
32,2025.2.2,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.2.2
33,2025.2.2,강남구,서울특별시 강남구 대치동 994-8,보도와 차도가 구분된 도로의 차도,2025.2.2
34,2025.2.2,강남구,서울특별시 강남구 대치동 994-8,보도와 차도가 구분된 도로의 차도,2025.2.2
35,2025.2.3,강남구,서울특별시 강남구 삼성동 1,보도와 차도가 구분된 도로의 차도,2025.2.3
36,2025.2.3,강남구,서울특별시 강남구 삼성동 1,보도와 차도가 구분된 도로의 차도,2025.2.3
37,2025.2.2,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.2.2
38,2025.2.2,강남구,서울특별시 강남구 역삼동 858-16,보도와 차도가 구분된 도로의 차도,2025.2.2
39,2025.2.3,강남구,서울특별시 강남구 삼성동 1,보도와 차도가 구분된 도로의 차도,2025.2.3
40,2025.2.3,강남구,서울특별시 강남구 삼성동 16-1,보도와 차도가 구분된 도로의 차도,2025.2.3
