번호,신고일,구정보,주소,유형,조치일,,,,,,,,,,,,,,,,,
1069,2025.5.8,마포구,서울특별시 마포구 망원동 452-2,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1070,2025.5.8,서초구,서울특별시 서초구 서초동 1316-5,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1071,2025.5.8,관악구,서울특별시 관악구 신림동 231-1,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1072,2025.5.8,마포구,서울특별시 마포구 망원동 453-9,자전거 도로,2025.5.8,,,,,,,,,,,,,,,,,
1073,2025.5.8,마포구,서울특별시 마포구 망원동 503,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1074,2025.5.8,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1075,2025.5.8,구로구,서울특별시 구로구 구로동 248-3,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1076,2025.5.8,강남구,서울특별시 강남구 역삼동 785-7,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1077,2025.5.8,구로구,서울특별시 구로구 구로동 197-48,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1078,2025.5.8,금천구,서울특별시 금천구 독산동 291-1,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1079,2025.5.8,금천구,서울특별시 금천구 독산동 294-8,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1080,2025.5.8,동작구,서울특별시 동작구 신대방동 599-39,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1081,2025.5.8,강서구,서울특별시 강서구 가양동 26-10,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1082,2025.5.8,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1083,2025.5.8,구로구,서울특별시 구로구 구로동 1130-59,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1084,2025.5.8,금천구,서울특별시 금천구 독산동 294-8,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1085,2025.5.8,강남구,서울특별시 강남구 역삼동 786-17,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1086,2025.5.8,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1087,2025.5.8,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1088,2025.5.8,서초구,서울특별시 서초구 서초동 1373,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1089,2025.5.8,서초구,서울특별시 서초구 서초동 1373,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1090,2025.5.8,강남구,서울특별시 강남구 대치동 1012-40,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1091,2025.5.8,금천구,서울특별시 금천구 독산동 300-2,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1092,2025.5.8,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1093,2025.5.8,구로구,서울특별시 구로구 구로동 252-100,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1094,2025.5.8,서초구,서울특별시 서초구 서초동 1373,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1095,2025.5.8,서초구,서울특별시 서초구 서초동 1373,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1096,2025.5.8,서초구,서울특별시 서초구 서초동 1303-32,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1097,2025.5.8,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1098,2025.5.8,강남구,서울특별시 강남구 도곡동 556,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1099,2025.5.8,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1100,2025.5.8,강남구,서울특별시 강남구 도곡동 556,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1101,2025.5.8,강남구,서울특별시 강남구 역삼동 708,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1102,2025.5.8,강서구,서울특별시 강서구 화곡동 산60-1,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1103,2025.5.8,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1104,2025.5.8,강서구,서울특별시 강서구 화곡동 산60-1,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1105,2025.5.8,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1106,2025.5.8,강남구,서울특별시 강남구 도곡동 556,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1107,2025.5.8,강남구,서울특별시 강남구 역삼동 805-7,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1108,2025.5.8,강남구,서울특별시 강남구 도곡동 556,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1109,2025.5.8,강남구,서울특별시 강남구 역삼동 804,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1110,2025.5.8,강남구,서울특별시 강남구 대치동 1011-19,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1111,2025.5.8,구로구,서울특별시 구로구 오류동 135-4,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1112,2025.5.8,강남구,서울특별시 강남구 대치동 1011-19,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1113,2025.5.8,강서구,서울특별시 강서구 등촌동 666-9,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1114,2025.5.8,강서구,서울특별시 강서구 등촌동 639-2,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1115,2025.5.8,강서구,서울특별시 강서구 등촌동 628,지하철역 전면(5m이내),2025.5.8,,,,,,,,,,,,,,,,,
1116,2025.5.8,강남구,서울특별시 강남구 대치동 891-27,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1117,2025.5.8,강남구,서울특별시 강남구 대치동 1011-12,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1118,2025.5.8,금천구,서울특별시 금천구 가산동 237-101,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1119,2025.5.8,강서구,서울특별시 강서구 등촌동 666-14,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1120,2025.5.8,강남구,서울특별시 강남구 대치동 891,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1121,2025.5.8,강남구,서울특별시 강남구 대치동 891,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1122,2025.5.8,마포구,서울특별시 마포구 용강동 45-15,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1123,2025.5.8,강남구,서울특별시 강남구 대치동 1011-12,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1124,2025.5.8,강남구,서울특별시 강남구 대치동 1011-12,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1125,2025.5.8,강남구,서울특별시 강남구 대치동 1011-12,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1126,2025.5.8,강남구,서울특별시 강남구 대치동 1011-12,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1127,2025.5.8,마포구,서울특별시 마포구 대흥동 485-6,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1128,2025.5.8,구로구,서울특별시 구로구 구로동 222-15,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1129,2025.5.8,마포구,서울특별시 마포구 염리동 164-14,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1130,2025.5.8,강남구,서울특별시 강남구 대치동 1011-13,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1131,2025.5.8,마포구,서울특별시 마포구 염리동 164-14,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1132,2025.5.8,강남구,서울특별시 강남구 대치동 942-13,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1133,2025.5.8,강남구,서울특별시 강남구 대치동 942-7,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1134,2025.5.8,금천구,서울특별시 금천구 가산동 459-29,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1135,2025.5.8,마포구,서울특별시 마포구 용강동 234-1,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1136,2025.5.8,마포구,서울특별시 마포구 상수동 134-1,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1137,2025.5.8,영등포구,서울특별시 영등포구 문래동3가 55-14,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1138,2025.5.8,영등포구,서울특별시 영등포구 문래동6가 5-1,점자블록 또는 교통약자 엘리베이터,2025.5.8,,,,,,,,,,,,,,,,,
1139,2025.5.8,영등포구,서울특별시 영등포구 문래동6가 5-1,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1140,2025.5.8,마포구,서울특별시 마포구 대흥동 200-1,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1141,2025.5.8,영등포구,서울특별시 영등포구 문래동5가 23-4,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1142,2025.5.8,영등포구,서울특별시 영등포구 문래동5가 22-1,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1143,2025.5.8,마포구,서울특별시 마포구 염리동 169-12,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1144,2025.5.8,영등포구,서울특별시 영등포구 양평동2가 37-4,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1145,2025.5.8,마포구,서울특별시 마포구 염리동 169-12,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1146,2025.5.8,마포구,서울특별시 마포구 공덕동 476-1,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1147,2025.5.8,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1148,2025.5.8,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1149,2025.5.8,강남구,서울특별시 강남구 청담동 99-19,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1150,2025.5.8,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1151,2025.5.8,강남구,서울특별시 강남구 청담동 99-19,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1152,2025.5.8,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1153,2025.5.8,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1154,2025.5.8,강남구,서울특별시 강남구 청담동 118-1,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1155,2025.5.8,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1156,2025.5.8,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1157,2025.5.8,마포구,서울특별시 마포구 염리동 128-19,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1158,2025.5.8,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1159,2025.5.8,강남구,서울특별시 강남구 청담동 141-15,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1160,2025.5.8,송파구,서울특별시 송파구 가락동 100-3,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1161,2025.5.8,강남구,서울특별시 강남구 청담동 145,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1162,2025.5.8,송파구,서울특별시 송파구 가락동 110,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1163,2025.5.8,강남구,서울특별시 강남구 청담동 141-18,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1164,2025.5.8,강남구,서울특별시 강남구 청담동 141-18,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1165,2025.5.8,송파구,서울특별시 송파구 가락동 106-3,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1166,2025.5.8,강남구,서울특별시 강남구 청담동 141-18,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1167,2025.5.8,마포구,서울특별시 마포구 공덕동 464-4,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1168,2025.5.8,강남구,서울특별시 강남구 청담동 141-18,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1169,2025.5.8,구로구,서울특별시 구로구 구로동 184-1,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1170,2025.5.8,구로구,서울특별시 구로구 구로동 184-1,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1171,2025.5.8,구로구,서울특별시 구로구 구로동 184-1,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1172,2025.5.8,구로구,서울특별시 구로구 구로동 184-1,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1173,2025.5.8,마포구,서울특별시 마포구 공덕동 464-4,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1174,2025.5.8,강남구,서울특별시 강남구 압구정동 394,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1175,2025.5.8,강남구,서울특별시 강남구 청담동 77,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1176,2025.5.8,마포구,서울특별시 마포구 신수동 21-8,점자블록 또는 교통약자 엘리베이터,2025.5.8,,,,,,,,,,,,,,,,,
1177,2025.5.8,마포구,서울특별시 마포구 신수동 92-9,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1178,2025.5.8,강남구,서울특별시 강남구 청담동 77,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1179,2025.5.8,영등포구,서울특별시 영등포구 당산동3가 397-1,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1180,2025.5.8,강남구,서울특별시 강남구 청담동 98-8,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1181,2025.5.8,강남구,서울특별시 강남구 청담동 77,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1182,2025.5.8,강남구,서울특별시 강남구 청담동 77,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1183,2025.5.8,금천구,서울특별시 금천구 시흥동 905,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1184,2025.5.8,영등포구,서울특별시 영등포구 양평동4가 324,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1185,2025.5.8,금천구,서울특별시 금천구 시흥동 113-192,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1186,2025.5.8,금천구,서울특별시 금천구 시흥동 113-192,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1187,2025.5.8,동작구,서울특별시 동작구 사당동 250-6,보도와 차도가 구분된 도로의 차도,2025.5.8,,,,,,,,,,,,,,,,,
1188,2025.5.8,영등포구,서울특별시 영등포구 도림동 226-2,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1189,2025.5.8,영등포구,서울특별시 영등포구 대림동 608-3,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1190,2025.5.8,영등포구,서울특별시 영등포구 대림동 774,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1191,2025.5.8,동작구,서울특별시 동작구 사당동 1129,지하철역 전면(5m이내),2025.5.8,,,,,,,,,,,,,,,,,
1192,2025.5.8,영등포구,서울특별시 영등포구 대림동 706-1,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1193,2025.5.8,은평구,서울특별시 은평구 구산동 339-8,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1194,2025.5.8,영등포구,서울특별시 영등포구 대림동 834-8,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1195,2025.5.8,서초구,서울특별시 서초구 서초동 1424-2,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1196,2025.5.8,서초구,서울특별시 서초구 서초동 1748-45,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1197,2025.5.8,은평구,서울특별시 은평구 역촌동 69-14,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1198,2025.5.8,서초구,서울특별시 서초구 서초동 1748-45,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1199,2025.5.8,은평구,서울특별시 은평구 역촌동 54-8,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1200,2025.5.8,서초구,서울특별시 서초구 서초동 1748-45,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1201,2025.5.8,서초구,서울특별시 서초구 서초동 1748-45,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1202,2025.5.8,서초구,서울특별시 서초구 서초동 1748-45,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1203,2025.5.8,영등포구,서울특별시 영등포구 여의도동 5,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1204,2025.5.8,서초구,서울특별시 서초구 서초동 1425-1,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1205,2025.5.8,은평구,서울특별시 은평구 역촌동 51-28,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1206,2025.5.8,서초구,서울특별시 서초구 서초동 1745-2,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1207,2025.5.8,서초구,서울특별시 서초구 서초동 1341,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1208,2025.5.8,서초구,서울특별시 서초구 서초동 1444-20,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1209,2025.5.8,서초구,서울특별시 서초구 서초동 1745-8,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1210,2025.5.8,동작구,서울특별시 동작구 사당동 708-1110,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1211,2025.5.8,구로구,서울특별시 구로구 구로동 1209,지하철역 전면(5m이내),2025.5.9,,,,,,,,,,,,,,,,,
1212,2025.5.8,영등포구,서울특별시 영등포구 신길동 362-1,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1213,2025.5.8,은평구,서울특별시 은평구 응암동 1-39,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1214,2025.5.8,동작구,서울특별시 동작구 신대방동 395-61,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1215,2025.5.8,은평구,서울특별시 은평구 응암동 194-17,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1216,2025.5.8,영등포구,서울특별시 영등포구 신길동 4883,지하철역 전면(5m이내),2025.5.8,,,,,,,,,,,,,,,,,
1217,2025.5.8,동작구,서울특별시 동작구 상도동 22-92,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1218,2025.5.8,강동구,서울특별시 강동구 고덕동 211,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1219,2025.5.8,강동구,서울특별시 강동구 상일동 521-1,자전거 도로,2025.5.8,,,,,,,,,,,,,,,,,
1220,2025.5.8,영등포구,서울특별시 영등포구 신길동 4876,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1221,2025.5.8,강동구,서울특별시 강동구 고덕동 716-10,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1222,2025.5.8,강동구,서울특별시 강동구 고덕동 94-18,버스정류소 및 택시승강장 주변(5m 이내),2025.5.8,,,,,,,,,,,,,,,,,
1223,2025.5.8,서초구,서울특별시 서초구 서초동 1364-27,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1224,2025.5.8,서초구,서울특별시 서초구 서초동 1404,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1225,2025.5.8,서초구,서울특별시 서초구 서초동 1404,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1226,2025.5.8,서초구,서울특별시 서초구 서초동 1404,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1227,2025.5.8,서초구,서울특별시 서초구 서초동 1362-26,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1228,2025.5.8,송파구,서울특별시 송파구 석촌동 318,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1229,2025.5.8,송파구,서울특별시 송파구 송파동 2-3,보호구역(어린이·노인·장애인),2025.5.8,,,,,,,,,,,,,,,,,
1230,2025.5.8,서초구,서울특별시 서초구 양재동 201-3,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1231,2025.5.8,서초구,서울특별시 서초구 양재동 201-3,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1232,2025.5.8,서초구,서울특별시 서초구 양재동 201-3,횡단보도 주변(3m),2025.5.8,,,,,,,,,,,,,,,,,
1233,2025.5.8,서초구,서울특별시 서초구 양재동 213-6,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1234,2025.5.8,서초구,서울특별시 서초구 양재동 213-6,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1235,2025.5.8,서초구,서울특별시 서초구 양재동 212,상기 사항 외 보도,2025.5.8,,,,,,,,,,,,,,,,,
1236,2025.5.9,송파구,서울특별시 송파구 가락동 62,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1237,2025.5.9,서초구,서울특별시 서초구 서초동 1739-2,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1238,2025.5.9,서초구,서울특별시 서초구 반포동 2-13,횡단보도 주변(3m),2025.5.9,,,,,,,,,,,,,,,,,
1239,2025.5.9,서초구,서울특별시 서초구 반포동 2-13,자전거 도로,2025.5.9,,,,,,,,,,,,,,,,,
1240,2025.5.9,송파구,서울특별시 송파구 문정동 622,횡단보도 주변(3m),2025.5.9,,,,,,,,,,,,,,,,,
1241,2025.5.9,송파구,서울특별시 송파구 가락동 159-4,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1242,2025.5.9,서초구,서울특별시 서초구 반포동 1-8,자전거 도로,2025.5.9,,,,,,,,,,,,,,,,,
1243,2025.5.9,서초구,서울특별시 서초구 반포동 1-8,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1244,2025.5.9,서초구,서울특별시 서초구 반포동 1-8,지하철역 전면(5m이내),2025.5.9,,,,,,,,,,,,,,,,,
1245,2025.5.9,송파구,서울특별시 송파구 가락동 99-10,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1246,2025.5.9,송파구,서울특별시 송파구 문정동 641-8,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1247,2025.5.9,송파구,서울특별시 송파구 가락동 98-9,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1248,2025.5.9,송파구,서울특별시 송파구 오금동 31,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1249,2025.5.9,송파구,서울특별시 송파구 오금동 6-2,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1250,2025.5.9,송파구,서울특별시 송파구 문정동 226-6,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1251,2025.5.9,서초구,서울특별시 서초구 서초동 1739-7,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1252,2025.5.9,송파구,서울특별시 송파구 문정동 642,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1253,2025.5.9,서초구,서울특별시 서초구 서초동 1748-22,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1254,2025.5.9,서초구,서울특별시 서초구 서초동 1748-22,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1255,2025.5.9,서초구,서울특별시 서초구 서초동 1674-7,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1256,2025.5.9,송파구,서울특별시 송파구 문정동 641-2,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1257,2025.5.9,송파구,서울특별시 송파구 문정동 641-2,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1258,2025.5.9,서초구,서울특별시 서초구 서초동 1739-5,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1259,2025.5.9,송파구,서울특별시 송파구 방이동 220-5,보호구역(어린이·노인·장애인),2025.5.9,,,,,,,,,,,,,,,,,
1260,2025.5.9,서초구,서울특별시 서초구 서초동 1574-15,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
1261,2025.5.9,송파구,서울특별시 송파구 방이동 72,보도와 차도가 구분된 도로의 차도,2025.5.9,,,,,,,,,,,,,,,,,
1262,2025.5.9,송파구,서울특별시 송파구 문정동 641-2,상기 사항 외 보도,2025.5.9,,,,,,,,,,,,,,,,,
