번호,신고일,구정보,주소,유형,조치일
1,2025-10-01,동작구,서울특별시 동작구 상도동 511-3,보도와 차도가 구분된 도로의 차도,2025-10-02
2,2025-10-01,은평구,서울특별시 은평구 대조동 2-62,횡단보도 주변(3m),2025-10-01
3,2025-10-01,은평구,서울특별시 은평구 대조동 2-6,상기 사항 외 보도,2025-10-01
4,2025-10-01,은평구,서울특별시 은평구 불광동 281-203,상기 사항 외 보도,2025-10-01
5,2025-10-01,송파구,서울특별시 송파구 잠실동 274,보도와 차도가 구분된 도로의 차도,2025-10-01
6,2025-10-01,은평구,서울특별시 은평구 불광동 281-91,지하철역 전면(5m이내),2025-10-01
7,2025-10-01,송파구,서울특별시 송파구 잠실동 342,보도와 차도가 구분된 도로의 차도,2025-10-01
8,2025-10-01,서초구,서울특별시 서초구 서초동 1376,상기 사항 외 보도,2025-10-01
9,2025-10-01,서초구,서울특별시 서초구 서초동 1376-2,상기 사항 외 보도,2025-10-01
10,2025-10-01,서초구,서울특별시 서초구 서초동 1376,상기 사항 외 보도,2025-10-01
11,2025-10-01,서초구,서울특별시 서초구 서초동 1376-6,상기 사항 외 보도,2025-10-01
12,2025-10-01,서초구,서울특별시 서초구 서초동 1376,상기 사항 외 보도,2025-10-01
13,2025-10-01,영등포구,서울특별시 영등포구 여의도동 3-4,상기 사항 외 보도,2025-10-01
14,2025-10-01,용산구,서울특별시 용산구 문배동 18-5,보도와 차도가 구분된 도로의 차도,2025-10-02
15,2025-10-01,종로구,서울특별시 종로구 사직동 262-197,보도와 차도가 구분된 도로의 차도,2025-10-01
16,2025-10-01,서초구,서울특별시 서초구 서초동 1334,횡단보도 주변(3m),2025-10-01
17,2025-10-01,서초구,서울특별시 서초구 서초동 1327-29,보호구역(어린이·노인·장애인),2025-10-01
18,2025-10-01,서초구,서울특별시 서초구 서초동 1321-20,상기 사항 외 보도,2025-10-01
19,2025-10-01,영등포구,서울특별시 영등포구 양평동1가 115-2,상기 사항 외 보도,2025-10-01
20,2025-10-01,영등포구,서울특별시 영등포구 당산동2가 47-4,보도와 차도가 구분된 도로의 차도,2025-10-01
21,2025-10-01,서초구,서울특별시 서초구 서초동 1379,횡단보도 주변(3m),2025-10-01
22,2025-10-01,서초구,서울특별시 서초구 서초동 1379,보호구역(어린이·노인·장애인),2025-10-01
23,2025-10-01,영등포구,서울특별시 영등포구 문래동3가 55-12,상기 사항 외 보도,2025-10-01
24,2025-10-01,강남구,서울특별시 강남구 역삼동 833-7,보도와 차도가 구분된 도로의 차도,2025-10-01
25,2025-10-01,강남구,서울특별시 강남구 역삼동 833-7,보도와 차도가 구분된 도로의 차도,2025-10-01
26,2025-10-01,서초구,서울특별시 서초구 서초동 1395,보도와 차도가 구분된 도로의 차도,2025-10-01
27,2025-10-01,강남구,서울특별시 강남구 역삼동 858-18,보도와 차도가 구분된 도로의 차도,2025-10-01
28,2025-10-01,영등포구,서울특별시 영등포구 당산동2가 1-1,상기 사항 외 보도,2025-10-01
29,2025-10-01,강남구,서울특별시 강남구 도곡동 556,보도와 차도가 구분된 도로의 차도,2025-10-01
30,2025-10-01,강서구,서울특별시 강서구 등촌동 666-35,횡단보도 주변(3m),2025-10-01
31,2025-10-01,강남구,서울특별시 강남구 역삼동 858-15,보도와 차도가 구분된 도로의 차도,2025-10-01
32,2025-10-01,서대문구,서울특별시 서대문구 홍은동 361-21,보호구역(어린이·노인·장애인),2025-10-02
33,2025-10-01,서대문구,서울특별시 서대문구 홍은동 361-21,보도와 차도가 구분된 도로의 차도,2025-10-02
34,2025-10-01,강남구,서울특별시 강남구 도곡동 556,보도와 차도가 구분된 도로의 차도,2025-10-01
35,2025-10-01,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025-10-01
36,2025-10-01,영등포구,서울특별시 영등포구 양평동2가 37-4,상기 사항 외 보도,2025-10-01
37,2025-10-01,영등포구,서울특별시 영등포구 양평동1가 271-1,상기 사항 외 보도,2025-10-01
38,2025-10-01,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025-10-01
39,2025-10-01,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025-10-01
40,2025-10-01,강남구,서울특별시 강남구 대치동 1023-5,보도와 차도가 구분된 도로의 차도,2025-10-01
41,2025-10-01,강남구,서울특별시 강남구 역삼동 805,보도와 차도가 구분된 도로의 차도,2025-10-01
42,2025-10-01,동작구,서울특별시 동작구 흑석동 257-129,보호구역(어린이·노인·장애인),2025-10-01
43,2025-10-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-10-01
44,2025-10-01,강남구,서울특별시 강남구 대치동 1026,보도와 차도가 구분된 도로의 차도,2025-10-01
45,2025-10-01,강남구,서울특별시 강남구 대치동 398,보도와 차도가 구분된 도로의 차도,2025-10-01
46,2025-10-01,동작구,서울특별시 동작구 상도동 산80-32,버스정류소 및 택시승강장 주변(5m 이내),2025-10-01
47,2025-10-01,동작구,서울특별시 동작구 신대방동 355-26,횡단보도 주변(3m),2025-10-01
48,2025-10-01,동작구,서울특별시 동작구 대방동 408-1,횡단보도 주변(3m),2025-10-01
49,2025-10-01,영등포구,서울특별시 영등포구 양평동4가 24,상기 사항 외 보도,2025-10-01
50,2025-10-01,송파구,서울특별시 송파구 풍납동 251-2,보도와 차도가 구분된 도로의 차도,2025-10-01
51,2025-10-01,영등포구,서울특별시 영등포구 양평동4가 260-1,보도와 차도가 구분된 도로의 차도,2025-10-01
52,2025-10-01,영등포구,서울특별시 영등포구 양평동4가 93-1,상기 사항 외 보도,2025-10-01
53,2025-10-01,영등포구,서울특별시 영등포구 양평동4가 93-1,상기 사항 외 보도,2025-10-01
54,2025-10-01,영등포구,서울특별시 영등포구 양평동4가 93-1,상기 사항 외 보도,2025-10-01
55,2025-10-01,강서구,서울특별시 강서구 염창동 240-25,보도와 차도가 구분된 도로의 차도,2025-10-01
56,2025-10-01,송파구,서울특별시 송파구 풍납동 467,보도와 차도가 구분된 도로의 차도,2025-10-01
57,2025-10-01,송파구,서울특별시 송파구 풍납동 454,보도와 차도가 구분된 도로의 차도,2025-10-01
58,2025-10-01,마포구,서울특별시 마포구 망원동 453-9,보도와 차도가 구분된 도로의 차도,2025-10-01
59,2025-10-01,마포구,서울특별시 마포구 망원동 453-9,보도와 차도가 구분된 도로의 차도,2025-10-01
60,2025-10-01,송파구,서울특별시 송파구 풍납동 403-12,보도와 차도가 구분된 도로의 차도,2025-10-01
61,2025-10-01,구로구,서울특별시 구로구 구로동 65,횡단보도 주변(3m),2025-10-01
62,2025-10-01,마포구,서울특별시 마포구 합정동 442-10,보도와 차도가 구분된 도로의 차도,2025-10-01
63,2025-10-01,영등포구,서울특별시 영등포구 당산동5가 42,상기 사항 외 보도,2025-10-01
64,2025-10-01,영등포구,서울특별시 영등포구 당산동5가 11-43,상기 사항 외 보도,2025-10-01
65,2025-10-01,마포구,서울특별시 마포구 합정동 408,보도와 차도가 구분된 도로의 차도,2025-10-01
66,2025-10-01,강서구,서울특별시 강서구 화곡동 1130-10,보도와 차도가 구분된 도로의 차도,2025-10-01
67,2025-10-01,영등포구,서울특별시 영등포구 당산동4가 32-212,상기 사항 외 보도,2025-10-01
68,2025-10-01,마포구,서울특별시 마포구 합정동 407,보도와 차도가 구분된 도로의 차도,2025-10-01
69,2025-10-01,송파구,서울특별시 송파구 장지동 898,버스정류소 및 택시승강장 주변(5m 이내),2025-10-01
70,2025-10-01,강서구,서울특별시 강서구 화곡동 1002-10,보호구역(어린이·노인·장애인),2025-10-01
71,2025-10-01,송파구,서울특별시 송파구 장지동 917-2,자전거 도로,2025-10-01
72,2025-10-01,관악구,서울특별시 관악구 봉천동 302-3,보도와 차도가 구분된 도로의 차도,2025-10-01
73,2025-10-01,마포구,서울특별시 마포구 합정동 402,보도와 차도가 구분된 도로의 차도,2025-10-01
74,2025-10-01,강서구,서울특별시 강서구 화곡동 664-31,보도와 차도가 구분된 도로의 차도,2025-10-01
75,2025-10-01,마포구,서울특별시 마포구 합정동 407,보도와 차도가 구분된 도로의 차도,2025-10-01
76,2025-10-01,관악구,서울특별시 관악구 봉천동 1628-28,횡단보도 주변(3m),2025-10-01
77,2025-10-01,관악구,서울특별시 관악구 봉천동 1693-40,횡단보도 주변(3m),2025-10-01
78,2025-10-01,영등포구,서울특별시 영등포구 당산동 121-258,상기 사항 외 보도,2025-10-01
79,2025-10-01,마포구,서울특별시 마포구 합정동 472-2,보도와 차도가 구분된 도로의 차도,2025-10-01
80,2025-10-01,마포구,서울특별시 마포구 합정동 472,보도와 차도가 구분된 도로의 차도,2025-10-01
81,2025-10-01,동작구,서울특별시 동작구 상도동 187-2,횡단보도 주변(3m),2025-10-01
82,2025-10-01,구로구,서울특별시 구로구 구로동 80,횡단보도 주변(3m),2025-10-01
83,2025-10-01,구로구,서울특별시 구로구 구로동 81,횡단보도 주변(3m),2025-10-01
84,2025-10-01,동작구,서울특별시 동작구 대방동 335-53,지하철역 전면(5m이내),2025-10-01
85,2025-10-01,구로구,서울특별시 구로구 구로동 737-1,횡단보도 주변(3m),2025-10-01
86,2025-10-01,구로구,서울특별시 구로구 구로동 265-3,보호구역(어린이·노인·장애인),2025-10-01
87,2025-10-01,마포구,서울특별시 마포구 서교동 476-54,보도와 차도가 구분된 도로의 차도,2025-10-01
88,2025-10-01,구로구,서울특별시 구로구 구로동 212-17,횡단보도 주변(3m),2025-10-01
89,2025-10-01,관악구,서울특별시 관악구 신림동 1675-8,상기 사항 외 보도,2025-10-01
90,2025-10-01,은평구,서울특별시 은평구 수색동 322-9,보호구역(어린이·노인·장애인),2025-10-01
91,2025-10-01,관악구,서울특별시 관악구 신림동 1675-8,횡단보도 주변(3m),2025-10-01
92,2025-10-01,은평구,서울특별시 은평구 수색동 322-9,보호구역(어린이·노인·장애인),2025-10-01
93,2025-10-01,강서구,서울특별시 강서구 가양동 1475-3,횡단보도 주변(3m),2025-10-01
94,2025-10-01,강남구,서울특별시 강남구 압구정동 527,보도와 차도가 구분된 도로의 차도,2025-10-01
95,2025-10-01,마포구,서울특별시 마포구 서교동 476-21,보도와 차도가 구분된 도로의 차도,2025-10-01
96,2025-10-01,마포구,서울특별시 마포구 서교동 476-21,보도와 차도가 구분된 도로의 차도,2025-10-01
97,2025-10-01,마포구,서울특별시 마포구 서교동 476-21,보도와 차도가 구분된 도로의 차도,2025-10-01
98,2025-10-01,강남구,서울특별시 강남구 압구정동 508,보도와 차도가 구분된 도로의 차도,2025-10-01
99,2025-10-01,마포구,서울특별시 마포구 서교동 476-54,보도와 차도가 구분된 도로의 차도,2025-10-01
100,2025-10-01,마포구,서울특별시 마포구 서교동 476-21,보도와 차도가 구분된 도로의 차도,2025-10-01
101,2025-10-01,강남구,서울특별시 강남구 대치동 988-3,보도와 차도가 구분된 도로의 차도,2025-10-01
102,2025-10-01,강남구,서울특별시 강남구 신사동 668-5,보도와 차도가 구분된 도로의 차도,2025-10-01
103,2025-10-01,강남구,서울특별시 강남구 신사동 668-5,보도와 차도가 구분된 도로의 차도,2025-10-01
104,2025-10-01,양천구,서울특별시 양천구 신정동 330,보도와 차도가 구분된 도로의 차도,2025-10-01
105,2025-10-01,송파구,서울특별시 송파구 방이동 184-8,횡단보도 주변(3m),2025-10-01
106,2025-10-01,강남구,서울특별시 강남구 신사동 668-5,보도와 차도가 구분된 도로의 차도,2025-10-01
107,2025-10-01,강남구,서울특별시 강남구 신사동 668-5,보도와 차도가 구분된 도로의 차도,2025-10-01
108,2025-10-01,강남구,서울특별시 강남구 청담동 85-4,보도와 차도가 구분된 도로의 차도,2025-10-01
109,2025-10-01,양천구,서울특별시 양천구 신정동 329-5,보도와 차도가 구분된 도로의 차도,2025-10-01
110,2025-10-01,강서구,서울특별시 강서구 등촌동 691-3,버스정류소 및 택시승강장 주변(5m 이내),2025-10-01
111,2025-10-01,동작구,서울특별시 동작구 대방동 381-19,보도와 차도가 구분된 도로의 차도,2025-10-01
112,2025-10-01,은평구,서울특별시 은평구 증산동 264,횡단보도 주변(3m),2025-10-01
113,2025-10-01,강남구,서울특별시 강남구 신사동 653,보도와 차도가 구분된 도로의 차도,2025-10-01
114,2025-10-01,은평구,서울특별시 은평구 증산동 264,횡단보도 주변(3m),2025-10-01
115,2025-10-01,강서구,서울특별시 강서구 등촌동 695,보호구역(어린이·노인·장애인),2025-10-01
116,2025-10-01,강남구,서울특별시 강남구 신사동 668-24,보도와 차도가 구분된 도로의 차도,2025-10-01
117,2025-10-01,금천구,서울특별시 금천구 시흥동 991-21,횡단보도 주변(3m),2025-10-01
118,2025-10-01,강서구,서울특별시 강서구 등촌동 709-21,보호구역(어린이·노인·장애인),2025-10-01
119,2025-10-01,은평구,서울특별시 은평구 증산동 232,보호구역(어린이·노인·장애인),2025-10-01
120,2025-10-01,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2025-10-01
121,2025-10-01,강남구,서울특별시 강남구 청담동 139-2,보도와 차도가 구분된 도로의 차도,2025-10-01
122,2025-10-01,강남구,서울특별시 강남구 청담동 139-2,보도와 차도가 구분된 도로의 차도,2025-10-01
123,2025-10-01,강남구,서울특별시 강남구 청담동 139-2,보도와 차도가 구분된 도로의 차도,2025-10-01
124,2025-10-01,동작구,서울특별시 동작구 신대방동 706,보도와 차도가 구분된 도로의 차도,2025-10-01
125,2025-10-01,금천구,서울특별시 금천구 시흥동 990-58,횡단보도 주변(3m),2025-10-01
126,2025-10-01,마포구,서울특별시 마포구 서교동 414,보도와 차도가 구분된 도로의 차도,2025-10-01
127,2025-10-01,금천구,서울특별시 금천구 시흥동 1000-127,상기 사항 외 보도,2025-10-01
128,2025-10-01,강남구,서울특별시 강남구 청담동 139-6,보도와 차도가 구분된 도로의 차도,2025-10-01
129,2025-10-01,강서구,서울특별시 강서구 등촌동 709-1,횡단보도 주변(3m),2025-10-01
130,2025-10-01,강남구,서울특별시 강남구 청담동 139-6,보도와 차도가 구분된 도로의 차도,2025-10-01
131,2025-10-01,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2025-10-01
132,2025-10-01,강남구,서울특별시 강남구 청담동 139-6,보도와 차도가 구분된 도로의 차도,2025-10-01
133,2025-10-01,강남구,서울특별시 강남구 청담동 139-6,보도와 차도가 구분된 도로의 차도,2025-10-01
134,2025-10-01,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2025-10-01
135,2025-10-01,강서구,서울특별시 강서구 마곡동 777-7,횡단보도 주변(3m),2025-10-01
136,2025-10-01,강남구,서울특별시 강남구 청담동 92-4,보도와 차도가 구분된 도로의 차도,2025-10-01
137,2025-10-01,동작구,서울특별시 동작구 신대방동 701-12,상기 사항 외 보도,2025-10-01
138,2025-10-01,송파구,서울특별시 송파구 장지동 849,버스정류소 및 택시승강장 주변(5m 이내),2025-10-01
139,2025-10-01,마포구,서울특별시 마포구 서교동 384-3,보도와 차도가 구분된 도로의 차도,2025-10-01
140,2025-10-01,양천구,서울특별시 양천구 목동 925,보도와 차도가 구분된 도로의 차도,2025-10-01
141,2025-10-01,송파구,서울특별시 송파구 장지동 839,횡단보도 주변(3m),2025-10-01
142,2025-10-01,송파구,서울특별시 송파구 장지동 839-2,횡단보도 주변(3m),2025-10-01
143,2025-10-01,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2025-10-01
144,2025-10-01,양천구,서울특별시 양천구 신정동 314,보도와 차도가 구분된 도로의 차도,2025-10-01
145,2025-10-01,은평구,서울특별시 은평구 신사동 180-2,보호구역(어린이·노인·장애인),2025-10-01
146,2025-10-01,은평구,서울특별시 은평구 신사동 180-2,보호구역(어린이·노인·장애인),2025-10-01
147,2025-10-01,송파구,서울특별시 송파구 잠실동 50-3,보도와 차도가 구분된 도로의 차도,2025-10-01
148,2025-10-01,강남구,서울특별시 강남구 청담동 77-60,보도와 차도가 구분된 도로의 차도,2025-10-01
149,2025-10-01,은평구,서울특별시 은평구 신사동 192-2,횡단보도 주변(3m),2025-10-01
150,2025-10-01,강남구,서울특별시 강남구 청담동 60-1,보도와 차도가 구분된 도로의 차도,2025-10-01
151,2025-10-01,관악구,서울특별시 관악구 봉천동 1001,보호구역(어린이·노인·장애인),2025-10-01
152,2025-10-01,강남구,서울특별시 강남구 대치동 317-1,보도와 차도가 구분된 도로의 차도,2025-10-01
153,2025-10-01,강남구,서울특별시 강남구 청담동 66-1,보도와 차도가 구분된 도로의 차도,2025-10-01
154,2025-10-01,마포구,서울특별시 마포구 서교동 428,보도와 차도가 구분된 도로의 차도,2025-10-01
155,2025-10-01,관악구,서울특별시 관악구 봉천동 1000-1,보호구역(어린이·노인·장애인),2025-10-01
156,2025-10-01,송파구,서울특별시 송파구 방이동 88-16,자전거 도로,2025-10-01
157,2025-10-01,동작구,서울특별시 동작구 노량진동 40-12,지하철역 전면(5m이내),2025-10-01
158,2025-10-01,관악구,서울특별시 관악구 봉천동 979-7,지하철역 전면(5m이내),2025-10-01
159,2025-10-01,관악구,서울특별시 관악구 봉천동 979-7,지하철역 전면(5m이내),2025-10-01
160,2025-10-01,관악구,서울특별시 관악구 봉천동 930-39,횡단보도 주변(3m),2025-10-01
161,2025-10-01,관악구,서울특별시 관악구 봉천동 930-39,횡단보도 주변(3m),2025-10-01
162,2025-10-01,마포구,서울특별시 마포구 서교동 428,보도와 차도가 구분된 도로의 차도,2025-10-01
163,2025-10-01,마포구,서울특별시 마포구 서교동 428,보도와 차도가 구분된 도로의 차도,2025-10-01
164,2025-10-01,마포구,서울특별시 마포구 서교동 444-18,보도와 차도가 구분된 도로의 차도,2025-10-01
165,2025-10-01,관악구,서울특별시 관악구 봉천동 1000,보도와 차도가 구분된 도로의 차도,2025-10-01
166,2025-10-01,마포구,서울특별시 마포구 서교동 428,보도와 차도가 구분된 도로의 차도,2025-10-01
167,2025-10-01,은평구,서울특별시 은평구 신사동 37-17,보호구역(어린이·노인·장애인),2025-10-01
168,2025-10-01,관악구,서울특별시 관악구 봉천동 1000,보도와 차도가 구분된 도로의 차도,2025-10-01
169,2025-10-01,은평구,서울특별시 은평구 신사동 35-22,횡단보도 주변(3m),2025-10-01
170,2025-10-01,마포구,서울특별시 마포구 서교동 383-15,보도와 차도가 구분된 도로의 차도,2025-10-01
171,2025-10-01,강서구,서울특별시 강서구 가양동 1493-2,보호구역(어린이·노인·장애인),2025-10-01
172,2025-10-01,양천구,서울특별시 양천구 목동 824,보도와 차도가 구분된 도로의 차도,2025-10-01
173,2025-10-01,금천구,서울특별시 금천구 독산동 828-19,보호구역(어린이·노인·장애인),2025-10-01
174,2025-10-01,양천구,서울특별시 양천구 목동 824,보도와 차도가 구분된 도로의 차도,2025-10-01
175,2025-10-01,양천구,서울특별시 양천구 목동 824,보도와 차도가 구분된 도로의 차도,2025-10-01
176,2025-10-01,관악구,서울특별시 관악구 봉천동 738-312,횡단보도 주변(3m),2025-10-01
177,2025-10-01,금천구,서울특별시 금천구 독산동 828-18,보호구역(어린이·노인·장애인),2025-10-01
178,2025-10-01,강서구,서울특별시 강서구 가양동 1481-3,보도와 차도가 구분된 도로의 차도,2025-10-01
179,2025-10-01,관악구,서울특별시 관악구 신림동 1467-9,횡단보도 주변(3m),2025-10-01
180,2025-10-01,은평구,서울특별시 은평구 응암동 746-17,상기 사항 외 보도,2025-10-01
181,2025-10-01,은평구,서울특별시 은평구 응암동 678-5,횡단보도 주변(3m),2025-10-01
182,2025-10-01,은평구,서울특별시 은평구 응암동 691,상기 사항 외 보도,2025-10-01
183,2025-10-01,양천구,서울특별시 양천구 목동 814,보도와 차도가 구분된 도로의 차도,2025-10-01
184,2025-10-01,양천구,서울특별시 양천구 목동 951,보도와 차도가 구분된 도로의 차도,2025-10-01
185,2025-10-01,은평구,서울특별시 은평구 응암동 764,횡단보도 주변(3m),2025-10-01
186,2025-10-01,마포구,서울특별시 마포구 망원동 452-1,보도와 차도가 구분된 도로의 차도,2025-10-01
187,2025-10-01,마포구,서울특별시 마포구 망원동 452-2,보도와 차도가 구분된 도로의 차도,2025-10-01
188,2025-10-01,은평구,서울특별시 은평구 응암동 767-6,보호구역(어린이·노인·장애인),2025-10-01
189,2025-10-01,마포구,서울특별시 마포구 망원동 451-7,보도와 차도가 구분된 도로의 차도,2025-10-01
190,2025-10-01,양천구,서울특별시 양천구 목동 903,보도와 차도가 구분된 도로의 차도,2025-10-01
191,2025-10-01,마포구,서울특별시 마포구 망원동 451-1,보도와 차도가 구분된 도로의 차도,2025-10-01
192,2025-10-01,은평구,서울특별시 은평구 응암동 124-23,보도와 차도가 구분된 도로의 차도,2025-10-01
193,2025-10-01,강서구,서울특별시 강서구 등촌동 709-17,보도와 차도가 구분된 도로의 차도,2025-10-01
194,2025-10-01,강서구,서울특별시 강서구 등촌동 709-17,보도와 차도가 구분된 도로의 차도,2025-10-01
195,2025-10-01,은평구,서울특별시 은평구 응암동 124-23,보도와 차도가 구분된 도로의 차도,2025-10-01
196,2025-10-01,은평구,서울특별시 은평구 응암동 124-23,보도와 차도가 구분된 도로의 차도,2025-10-01
197,2025-10-01,강서구,서울특별시 강서구 등촌동 709-14,보호구역(어린이·노인·장애인),2025-10-01
198,2025-10-01,도봉구,서울특별시 도봉구 창동 355,보호구역(어린이·노인·장애인),2025-10-01
199,2025-10-01,마포구,서울특별시 마포구 망원동 420-25,보도와 차도가 구분된 도로의 차도,2025-10-01
200,2025-10-01,도봉구,서울특별시 도봉구 창동 660-14,보호구역(어린이·노인·장애인),2025-10-01
201,2025-10-01,노원구,서울특별시 노원구 중계동 391-1,보호구역(어린이·노인·장애인),2025-10-01
202,2025-10-01,도봉구,서울특별시 도봉구 창동 660-14,보호구역(어린이·노인·장애인),2025-10-01
203,2025-10-01,마포구,서울특별시 마포구 망원동 391-37,보도와 차도가 구분된 도로의 차도,2025-10-01
204,2025-10-01,노원구,서울특별시 노원구 중계동 391-1,보호구역(어린이·노인·장애인),2025-10-01
