번호,신고일,구정보,주소,유형,조치일
1,2025-07-01,동작구,서울특별시 동작구 상도동 511,점자블록 또는 교통약자 엘리베이터,2025-07-02
2,2025-07-01,송파구,서울특별시 송파구 가락동 100-2,상기 사항 외 보도,2025-07-02
3,2025-07-01,서초구,서울특별시 서초구 양재동 402-17,상기 사항 외 보도,2025-07-01
4,2025-07-01,송파구,서울특별시 송파구 가락동 100-2,상기 사항 외 보도,2025-07-02
5,2025-07-01,서초구,서울특별시 서초구 양재동 85-9,상기 사항 외 보도,2025-07-01
6,2025-07-01,서초구,서울특별시 서초구 양재동 7,상기 사항 외 보도,2025-07-01
7,2025-07-01,송파구,서울특별시 송파구 가락동 37-2,보도와 차도가 구분된 도로의 차도,2025-07-02
8,2025-07-01,서초구,서울특별시 서초구 서초동 1404,보호구역(어린이·노인·장애인),2025-07-01
9,2025-07-01,서초구,서울특별시 서초구 서초동 1404,보호구역(어린이·노인·장애인),2025-07-01
10,2025-07-01,서초구,서울특별시 서초구 서초동 1404,횡단보도 주변(3m),2025-07-01
11,2025-07-01,금천구,서울특별시 금천구 시흥동 1026,보호구역(어린이·노인·장애인),2025-07-02
12,2025-07-01,서초구,서울특별시 서초구 서초동 1327-27,보호구역(어린이·노인·장애인),2025-07-01
13,2025-07-01,서초구,서울특별시 서초구 서초동 1398,보호구역(어린이·노인·장애인),2025-07-01
14,2025-07-01,서초구,서울특별시 서초구 서초동 1398,보호구역(어린이·노인·장애인),2025-07-01
15,2025-07-01,서초구,서울특별시 서초구 서초동 1328-7,상기 사항 외 보도,2025-07-01
16,2025-07-01,서초구,서울특별시 서초구 서초동 1396,상기 사항 외 보도,2025-07-01
17,2025-07-01,동작구,서울특별시 동작구 상도동 170-33,보도와 차도가 구분된 도로의 차도,2025-07-01
18,2025-07-01,서초구,서울특별시 서초구 서초동 1396,보도와 차도가 구분된 도로의 차도,2025-07-01
19,2025-07-01,서초구,서울특별시 서초구 서초동 1319-13,보도와 차도가 구분된 도로의 차도,2025-07-01
20,2025-07-01,서초구,서울특별시 서초구 서초동 1327-3,보도와 차도가 구분된 도로의 차도,2025-07-01
21,2025-07-01,서초구,서울특별시 서초구 서초동 1374,상기 사항 외 보도,2025-07-01
22,2025-07-01,동작구,서울특별시 동작구 신대방동 348-3,횡단보도 주변(3m),2025-07-01
23,2025-07-01,송파구,서울특별시 송파구 장지동 765-4,상기 사항 외 보도,2025-07-02
24,2025-07-01,서초구,서울특별시 서초구 서초동 1398,보도와 차도가 구분된 도로의 차도,2025-07-01
25,2025-07-01,송파구,서울특별시 송파구 장지동 917-3,자전거 도로,2025-07-01
26,2025-07-01,송파구,서울특별시 송파구 장지동 917-3,자전거 도로,2025-07-01
27,2025-07-01,서초구,서울특별시 서초구 서초동 1404,보호구역(어린이·노인·장애인),2025-07-01
28,2025-07-01,서초구,서울특별시 서초구 서초동 1362-13,보도와 차도가 구분된 도로의 차도,2025-07-01
29,2025-07-01,서초구,서울특별시 서초구 서초동 1381,상기 사항 외 보도,2025-07-01
30,2025-07-01,서초구,서울특별시 서초구 서초동 1404,상기 사항 외 보도,2025-07-01
31,2025-07-01,서초구,서울특별시 서초구 서초동 1381,횡단보도 주변(3m),2025-07-01
