번호,신고일,구정보,주소,유형,조치일
1,2025-09-01,송파구,서울특별시 송파구 석촌동 176-15,보도와 차도가 구분된 도로의 차도,2025-09-02
2,2025-09-01,서초구,서울특별시 서초구 서초동 1404,보호구역(어린이·노인·장애인),2025-09-01
3,2025-09-01,서초구,서울특별시 서초구 서초동 1404,보호구역(어린이·노인·장애인),2025-09-01
4,2025-09-01,서초구,서울특별시 서초구 서초동 1320-32,상기 사항 외 보도,2025-09-01
5,2025-09-01,서초구,서울특별시 서초구 서초동 1380,보호구역(어린이·노인·장애인),2025-09-01
6,2025-09-01,서초구,서울특별시 서초구 서초동 1396,횡단보도 주변(3m),2025-09-01
7,2025-09-01,서초구,서울특별시 서초구 서초동 1397,상기 사항 외 보도,2025-09-01
8,2025-09-01,서초구,서울특별시 서초구 서초동 1399-1,상기 사항 외 보도,2025-09-01
9,2025-09-01,서초구,서울특별시 서초구 서초동 1331-2,보호구역(어린이·노인·장애인),2025-09-01
10,2025-09-01,영등포구,서울특별시 영등포구 당산동6가 235-1,상기 사항 외 보도,2025-09-01
11,2025-09-01,동작구,서울특별시 동작구 상도동 244-146,상기 사항 외 보도,2025-09-01
12,2025-09-01,동작구,서울특별시 동작구 흑석동 195-19,횡단보도 주변(3m),2025-09-01
13,2025-09-01,영등포구,서울특별시 영등포구 대림동 988-4,횡단보도 주변(3m),2025-09-01
14,2025-09-01,동작구,서울특별시 동작구 흑석동 181-10,횡단보도 주변(3m),2025-09-01
15,2025-09-01,동작구,서울특별시 동작구 본동 30-68,점자블록 또는 교통약자 엘리베이터,2025-09-01
16,2025-09-01,영등포구,서울특별시 영등포구 신길동 340-1,상기 사항 외 보도,2025-09-01
17,2025-09-01,서초구,서울특별시 서초구 양재동 326-7,자전거 도로,2025-09-01
18,2025-09-01,서초구,서울특별시 서초구 양재동 316-7,자전거 도로,2025-09-01
19,2025-09-01,동작구,서울특별시 동작구 상도동 335-14,상기 사항 외 보도,2025-09-01
20,2025-09-01,서초구,서울특별시 서초구 양재동 316-2,지하철역 전면(5m이내),2025-09-01
21,2025-09-01,서초구,서울특별시 서초구 양재동 316,자전거 도로,2025-09-01
