month,lat,lon
1,37.4865004,127.1207895
1,37.4862854,127.1199335
1,37.4862854,127.1199335
1,37.4816698,127.1206971
1,37.4816698,127.1206971
1,37.4855846,127.1225635
1,37.4835406,127.1146026
1,37.4921127,127.1462995
1,37.5013305,127.14508
1,37.6616035,127.0133579
1,37.6597101,127.0138723
1,37.484122,127.1272884
1,37.4867498,127.1346905
1,37.484122,127.1272884
1,37.554772,126.9261045
1,37.5595278,126.9247949
1,37.4959349,127.0277888
1,37.4953217,127.0283411
1,37.493587,127.0295347
1,37.4936471,127.1349769
1,37.5595278,126.9247949
1,37.5595278,126.9247949
1,37.4951403,127.0276038
1,37.5456171,126.9127593
1,37.4899956,127.1263626
1,37.5220267,127.133221
1,37.5258294,127.1251669
1,37.4842777,126.9072688
1,37.4842777,126.9072688
1,37.5026784,127.0231689
1,37.5295424,127.1259239
1,37.527004,127.1270521
1,37.5288927,126.8401352
1,37.49826669999999,127.1256378
1,37.5595278,126.9247949
1,37.4956865,127.1184047
1,37.4904509,127.0305252
1,37.5948395,126.9209471
1,37.5578637,126.9236374
1,37.59438,126.9224709
1,37.4998564,127.0261723
1,37.55663699999999,126.9308547
1,37.4898022,126.9230525
1,37.4900701,126.9206843
1,37.5365481,126.8289314
1,37.5595278,126.9247949
1,37.4986891,127.133929
1,37.64269780000001,127.0651821
1,37.5732685,126.8971565
1,37.5732685,126.8971565
1,37.4997155,126.9222525
1,37.5423395,127.1326433
1,37.4998661,126.9225624
1,37.5502449,127.1421227
1,37.5793978,126.8917761
1,37.5524171,126.91818
1,37.5170797,127.1128211
1,37.581781,126.890585
1,37.6504234,127.0377799
1,37.4907715,127.0293862
1,37.6504234,127.0377799
1,37.4853631,126.9242303
1,37.581781,126.890585
1,37.6458873,127.0740527
1,37.4834284,126.9408757
1,37.6458873,127.0740527
1,37.6580876,127.0398134
1,37.6533924,127.0732963
1,37.5398942,126.881962
1,37.6533924,127.0732963
1,37.48293,126.9428265
1,37.6414184,127.0630877
1,37.5530804,126.8522914
1,37.5470098,126.9444298
1,37.4915225,127.0249813
1,37.5396137,126.8795362
1,37.5530804,126.8522914
1,37.493587,127.0295347
1,37.6610675,127.0276298
1,37.4925785,126.9261686
1,37.4925785,126.9261686
1,37.544774,126.949775
1,37.5451323,126.9117587
1,37.544931,126.9505963
1,37.5978991,126.9199482
1,37.5975021,126.9209953
1,37.5451323,126.9117587
1,37.5947879,126.9171679
1,37.5479535,126.9532835
1,37.5311637,126.8767844
1,37.4936758,126.926687
1,37.5451323,126.9117587
1,37.5499181,126.8260823
1,37.5485105,126.9534396
1,37.4996142,127.1218168
1,37.4996142,127.1218168
1,37.5531496,126.9033073
1,37.5531496,126.9033073
1,37.4817748,127.1154865
1,37.4899192,127.1436229
1,37.4817748,127.1154865
1,37.4817748,127.1154865
1,37.5259571,126.8750518
1,37.4817748,127.1154865
1,37.5041685,126.9427167
1,37.4817748,127.1154865
1,37.4861289,126.97519
1,37.4866027,126.9513353
1,37.5110176,127.0173308
1,37.4868394,126.9743176
