grid_id,grid_x,grid_y,center_x_m,center_y_m
4711_9755,4711,9755,942300.0,1951100.0
4711_9756,4711,9756,942300.0,1951300.0
4711_9758,4711,9758,942300.0,1951700.0
4711_9759,4711,9759,942300.0,1951900.0
4711_9760,4711,9760,942300.0,1952100.0
4711_9762,4711,9762,942300.0,1952500.0
4712_9738,4712,9738,942500.0,1947700.0
4712_9739,4712,9739,942500.0,1947900.0
4712_9746,4712,9746,942500.0,1949300.0
4712_9749,4712,9749,942500.0,1949900.0
4712_9750,4712,9750,942500.0,1950100.0
4712_9755,4712,9755,942500.0,1951100.0
4712_9756,4712,9756,942500.0,1951300.0
4712_9757,4712,9757,942500.0,1951500.0
4712_9758,4712,9758,942500.0,1951700.0
4712_9760,4712,9760,942500.0,1952100.0
4712_9761,4712,9761,942500.0,1952300.0
4712_9762,4712,9762,942500.0,1952500.0
4713_9741,4713,9741,942700.0,1948300.0
4713_9744,4713,9744,942700.0,1948900.0
4713_9745,4713,9745,942700.0,1949100.0
4713_9751,4713,9751,942700.0,1950300.0
4713_9752,4713,9752,942700.0,1950500.0
4713_9753,4713,9753,942700.0,1950700.0
4713_9754,4713,9754,942700.0,1950900.0
4713_9755,4713,9755,942700.0,1951100.0
4713_9756,4713,9756,942700.0,1951300.0
4713_9757,4713,9757,942700.0,1951500.0
4713_9758,4713,9758,942700.0,1951700.0
4713_9761,4713,9761,942700.0,1952300.0
4714_9744,4714,9744,942900.0,1948900.0
4714_9752,4714,9752,942900.0,1950500.0
4714_9753,4714,9753,942900.0,1950700.0
4714_9755,4714,9755,942900.0,1951100.0
4714_9756,4714,9756,942900.0,1951300.0
4714_9758,4714,9758,942900.0,1951700.0
4714_9759,4714,9759,942900.0,1951900.0
4714_9760,4714,9760,942900.0,1952100.0
4715_9742,4715,9742,943100.0,1948500.0
4715_9743,4715,9743,943100.0,1948700.0
4715_9744,4715,9744,943100.0,1948900.0
4715_9752,4715,9752,943100.0,1950500.0
4715_9754,4715,9754,943100.0,1950900.0
4715_9755,4715,9755,943100.0,1951100.0
4716_9744,4716,9744,943300.0,1948900.0
4716_9754,4716,9754,943300.0,1950900.0
4716_9755,4716,9755,943300.0,1951100.0
4716_9756,4716,9756,943300.0,1951300.0
4716_9757,4716,9757,943300.0,1951500.0
4716_9758,4716,9758,943300.0,1951700.0
4717_9727,4717,9727,943500.0,1945500.0
4717_9739,4717,9739,943500.0,1947900.0
4717_9753,4717,9753,943500.0,1950700.0
4717_9754,4717,9754,943500.0,1950900.0
4717_9755,4717,9755,943500.0,1951100.0
4717_9757,4717,9757,943500.0,1951500.0
4718_9739,4718,9739,943700.0,1947900.0
4718_9741,4718,9741,943700.0,1948300.0
4718_9743,4718,9743,943700.0,1948700.0
4718_9744,4718,9744,943700.0,1948900.0
4718_9753,4718,9753,943700.0,1950700.0
4718_9754,4718,9754,943700.0,1950900.0
4718_9755,4718,9755,943700.0,1951100.0
4718_9756,4718,9756,943700.0,1951300.0
4718_9757,4718,9757,943700.0,1951500.0
4719_9735,4719,9735,943900.0,1947100.0
4719_9741,4719,9741,943900.0,1948300.0
4719_9742,4719,9742,943900.0,1948500.0
4719_9744,4719,9744,943900.0,1948900.0
4719_9745,4719,9745,943900.0,1949100.0
4719_9746,4719,9746,943900.0,1949300.0
4719_9752,4719,9752,943900.0,1950500.0
4719_9753,4719,9753,943900.0,1950700.0
4719_9754,4719,9754,943900.0,1950900.0
4719_9755,4719,9755,943900.0,1951100.0
4719_9756,4719,9756,943900.0,1951300.0
4719_9757,4719,9757,943900.0,1951500.0
4720_9723,4720,9723,944100.0,1944700.0
4720_9741,4720,9741,944100.0,1948300.0
4720_9742,4720,9742,944100.0,1948500.0
4720_9745,4720,9745,944100.0,1949100.0
4720_9752,4720,9752,944100.0,1950500.0
4720_9753,4720,9753,944100.0,1950700.0
4720_9755,4720,9755,944100.0,1951100.0
4721_9732,4721,9732,944300.0,1946500.0
4721_9734,4721,9734,944300.0,1946900.0
4721_9735,4721,9735,944300.0,1947100.0
4721_9736,4721,9736,944300.0,1947300.0
4721_9737,4721,9737,944300.0,1947500.0
4721_9738,4721,9738,944300.0,1947700.0
4721_9739,4721,9739,944300.0,1947900.0
4721_9741,4721,9741,944300.0,1948300.0
4721_9742,4721,9742,944300.0,1948500.0
4721_9743,4721,9743,944300.0,1948700.0
4721_9751,4721,9751,944300.0,1950300.0
4721_9754,4721,9754,944300.0,1950900.0
4721_9755,4721,9755,944300.0,1951100.0
4722_9738,4722,9738,944500.0,1947700.0
4722_9740,4722,9740,944500.0,1948100.0
4722_9741,4722,9741,944500.0,1948300.0
4722_9744,4722,9744,944500.0,1948900.0
4722_9751,4722,9751,944500.0,1950300.0
4722_9752,4722,9752,944500.0,1950500.0
4722_9753,4722,9753,944500.0,1950700.0
4723_9731,4723,9731,944700.0,1946300.0
4723_9737,4723,9737,944700.0,1947500.0
4723_9739,4723,9739,944700.0,1947900.0
4723_9740,4723,9740,944700.0,1948100.0
4723_9741,4723,9741,944700.0,1948300.0
4723_9742,4723,9742,944700.0,1948500.0
4723_9743,4723,9743,944700.0,1948700.0
4723_9745,4723,9745,944700.0,1949100.0
4723_9751,4723,9751,944700.0,1950300.0
4723_9752,4723,9752,944700.0,1950500.0
4724_9717,4724,9717,944900.0,1943500.0
4724_9722,4724,9722,944900.0,1944500.0
4724_9724,4724,9724,944900.0,1944900.0
4724_9727,4724,9727,944900.0,1945500.0
4724_9736,4724,9736,944900.0,1947300.0
4724_9737,4724,9737,944900.0,1947500.0
4724_9739,4724,9739,944900.0,1947900.0
4724_9740,4724,9740,944900.0,1948100.0
4724_9741,4724,9741,944900.0,1948300.0
4724_9742,4724,9742,944900.0,1948500.0
4724_9745,4724,9745,944900.0,1949100.0
4724_9750,4724,9750,944900.0,1950100.0
4724_9751,4724,9751,944900.0,1950300.0
4725_9724,4725,9724,945100.0,1944900.0
4725_9726,4725,9726,945100.0,1945300.0
4725_9738,4725,9738,945100.0,1947700.0
4725_9739,4725,9739,945100.0,1947900.0
4725_9740,4725,9740,945100.0,1948100.0
4725_9743,4725,9743,945100.0,1948700.0
4725_9744,4725,9744,945100.0,1948900.0
4725_9745,4725,9745,945100.0,1949100.0
4726_9709,4726,9709,945300.0,1941900.0
4726_9718,4726,9718,945300.0,1943700.0
4726_9729,4726,9729,945300.0,1945900.0
4726_9730,4726,9730,945300.0,1946100.0
4726_9744,4726,9744,945300.0,1948900.0
4726_9745,4726,9745,945300.0,1949100.0
4726_9766,4726,9766,945300.0,1953300.0
4726_9767,4726,9767,945300.0,1953500.0
4726_9768,4726,9768,945300.0,1953700.0
4727_9706,4727,9706,945500.0,1941300.0
4727_9712,4727,9712,945500.0,1942500.0
4727_9715,4727,9715,945500.0,1943100.0
4727_9718,4727,9718,945500.0,1943700.0
4727_9719,4727,9719,945500.0,1943900.0
4727_9721,4727,9721,945500.0,1944300.0
4727_9722,4727,9722,945500.0,1944500.0
4727_9723,4727,9723,945500.0,1944700.0
4727_9724,4727,9724,945500.0,1944900.0
4727_9726,4727,9726,945500.0,1945300.0
4727_9729,4727,9729,945500.0,1945900.0
4727_9731,4727,9731,945500.0,1946300.0
