주소_clean,roadAddr,lat,lon
서울특별시 동작구 대방동 503-2,,37.5087465,126.9274984
서울특별시 용산구 산천동 203,"서울특별시 용산구 원효로 51 (산천동, 삼성테마트)",37.5339827,126.9503898
서울특별시 관악구 봉천동 979-8,서울특별시 관악구 남부순환로 지하1721 (봉천동),37.487812,126.957234
서울특별시 구로구 구로동 81,서울특별시 구로구 가마산로 226 (구로동),37.4935122,126.8861593
서울특별시 구로구 구로동 65,서울특별시 구로구 가마산로 241-1 (구로동),37.4944741,126.8881629
서울특별시 송파구 문정동 77-17,,37.4814003,127.1274522
서울특별시 양천구 목동 406-189,,37.5248369,126.8738068
서울특별시 구로구 구로동 50,서울특별시 구로구 공원로 28 (구로동),37.5010398,126.8903967
서울특별시 도봉구 쌍문동 137-232,,37.6509436,127.0308279
서울특별시 도봉구 쌍문동 59-1,,37.6579292,127.0314223
서울특별시 양천구 목동 915,서울특별시 양천구 목동동로 298 (목동),37.5278435,126.8778034
서울특별시 금천구 가산동 60-35,,37.4782268,126.8861489
서울특별시 송파구 잠실동 37,,37.5087836,127.0918115
서울특별시 금천구 독산동 333-16,,37.4694608,126.8906319
서울특별시 구로구 구로동 248-3,,37.4841677,126.8929391
서울특별시 노원구 하계동 285-1,,37.6404183,127.0697775
서울특별시 노원구 중계동 512-2,,37.6439323,127.0660207
서울특별시 강동구 성내동 574,서울특별시 강동구 성내로15길 58 (성내동),37.5298462,127.1296526
서울특별시 송파구 가락동 106-2,,37.4903514,127.1212911
서울특별시 노원구 중계동 502-2,,37.6432366,127.063566
서울특별시 금천구 독산동 1003,서울특별시 금천구 범안로 1152 (독산동),37.4663555,126.8898258
서울특별시 노원구 중계동 503-1,,37.6414184,127.0630877
서울특별시 양천구 신정동 312,"서울특별시 양천구 목동서로 340 (신정동, 목동신시가지아파트9단지)",37.5192608,126.8635376
서울특별시 강동구 성내동 583-2,,37.5293032,127.1237085
서울특별시 서대문구 대현동 60-11,서울특별시 서대문구 신촌로 185-2 (대현동),37.5578438,126.9436955
서울특별시 양천구 신정동 322-4,,37.5166599,126.8620239
서울특별시 금천구 가산동 219-14,,37.4758305,126.8898705
서울특별시 관악구 신림동 116-38,,37.471909,126.9341178
서울특별시 동작구 사당동 235-55,,37.4821982,126.966675
서울특별시 관악구 신림동 110-99,서울특별시 관악구 신림로 144 (신림동),37.4756595,126.9368339
서울특별시 송파구 가락동 107-18,,37.4901303,127.1235135
서울특별시 강서구 마곡동 789-4,서울특별시 강서구 마곡중앙8로 71 (마곡동),37.5617836,126.8347976
서울특별시 서대문구 대현동 62-13,서울특별시 서대문구 이화여대2다길 27 (대현동),37.5580718,126.9470115
서울특별시 강서구 마곡동 789-9,,37.562308,126.8359302
서울특별시 송파구 송파동 188-2,,37.4997263,127.1145478
