grid_id,count,lat,lon,address
4807_9722,38.03399165989709,37.49895976993794,127.06443786924093,대한민국 서울특별시 강남구 대치2동 317-2
4805_9724,30.517043712325503,37.502548358030964,127.05989150890797,대한민국 서울특별시 대치동 961-18번지 1층 102호 강남구 서울특별시 KR
4793_9730,27.338033706288627,37.51326010051039,127.03267166497268,대한민국 서울특별시 강남구 논현동 213-29
4799_9736,25.812904524725244,37.524129067970115,127.04618431682452,대한민국 서울특별시 강남구 도산대로 446-2
4803_9730,24.899530482509427,37.51334746989235,127.05530193704917,대한민국 서울특별시 강남구 삼성동 147
4798_9723,24.653677599156207,37.50068560938544,127.0440635417282,대한민국 서울특별시 강남구 언주로 420
4747_9753,22.38965711885797,37.55426292293272,126.9282573482267,대한민국 서울특별시 마포구 서교동 와우산로29가길 42
4792_9725,21.82107101863468,37.50423777527545,127.03046510401252,대한민국 서울특별시 강남구 봉은사로22길 46
4799_9729,21.79427668482734,37.51151036953993,127.04626072972388,대한민국 서울특별시 강남구 선릉로112길 32-1
4719_9745,20.838616111216343,37.53951803929807,126.86498192013592,대한민국 서울특별시 양천구 목동 719-36
